Content	Topic
Acquiring the VASP lice­nse aligns with substantial transformations within Binance’s organizational framework. Following the­ resignation of Zhao, Richard Teng assumed the re­ins, heralding a fresh strategic traje­ctory for the company. Under Teng’s ste­wardship, Binance has undergone a re­structuring process, including the establishme­nt of a newly formed board of directors. The­se initiatives highlight Binance’s commitme­nt to fortifying its operational stability and adhering to regulatory compliance­.	Corporate Shakeup, Regulatory Moves
Yi Clarifies Role and Relationship with CZ	Key Figures
In addition, a glimpse into the personal aspects of CZ’s life was offered. The mother to some of CZ’s children, He Yi, explained in detail their relationship at present; they are not romantic partners but only good friends. She retains the position of shareholder in Binance, which means her participation in decision-making in the company will continue.	Corporate Shakeup, Key Figures
Zhao has e­ncountered obstacles, as e­vident from legal documents. He­ requested cle­arance for international travel due­ to a family health concern, a decision that attracte­d increased scrutiny from American authoritie­s. Despite these­ challenges, Yi’s stateme­nts point to a stable outlook regarding CZ’s situation and Binance’s future­ prospects.	Legal Battles, Corporate Shakeup, Key Figures
He Yi Discusses Binance's Regulatory Strategy Amid Actions Against Binance and Zhao Changpen	He Yi`s Strategic Compliance Masterplan
Terrill Dicki Sep 27, 2023 09:12	He Yi`s Strategic Compliance Masterplan
In a public letter, He Yi, Co-founder of Binance, discusses the company's compliance strategy, which gains significance amidst a U.S. Department of Justice inquiry initiated on May 6, 2023, 13 SEC charges, and the company's recent exit from the Russian market.	Compliance Power Moves
Key Takeaways	He Yi`s Strategic Compliance Masterplan
He Yi's public letter provides insights into Binance's stringent compliance measures like KYC, EDD, WCK, and POA.	Compliance Power Moves, Strategic Survival Tactics
Binance is under investigation by the U.S. Department of Justice's national security division as of May 6, 2023, adding to a series of SEC charges.	Compliance Power Moves
Binance sells its Russian operations to CommEX, citing alignment with the company's global compliance strategy.	He Yi`s Strategic Compliance Masterplan
"In a crucial public letter that gains significance against the backdrop of global regulatory challenges, He Yi, Co-founder of Binance, outlined the company's approach to compliance, competition, and internal efficiency. Yi explicitly mentioned the rigorous compliance measures like KYC, EDD, WCK, and POA that Binance follows. ""It is important to note that many of our competitors do not need to consider KYC, compliance, EDD, WCK, POA as strictly as we do at Binance,"" she stated."	Legal Drama Unfolded
Yi's call for logical reasoning among employees seems to be a response to the multiple regulatory pressures the company is facing, particularly from the U.S. Department of Justice and the Securities and Exchange Commission (SEC).	He Yi`s Strategic Compliance Masterplan
On May 6, 2023, the U.S. Department of Justice's national security division initiated an inquiry into Binance. This inquiry is focused on whether Binance allowed Russian customers to access its platform in violation of U.S. sanctions imposed in response to Russia's invasion of Ukraine.	He Yi`s Strategic Compliance Masterplan
This investigation is not an isolated incident; it adds to a 2021 joint probe by the Department of Justice and the Internal Revenue Service, and an ongoing SEC investigation that filed 13 charges against Binance and its founder, Changpeng Zhao, on June 5, 2023.	He Yi`s Strategic Compliance Masterplan
"Amidst these complexities, Binance recently announced that it would sell its entire Russian operations to CommEX. Noah Perlman, Binance’s Chief Compliance Officer, cited compliance strategy as the reason for this exit. ""As we look toward the future, we recognize that operating in Russia is not compatible with Binance's compliance strategy,"" Perlman mentioned. This strategic move is expected to take up to a year to fully transition existing Russian users to CommEX."	He Yi`s Strategic Compliance Masterplan
Did Binance Really Seize Crypto from Palestinians? Binance co-founder Yi He denied alleged seizure of assets from all Palestinians and only accounts linked to illicit funds were blocked.	Hot Topic Buzz, Power Players, Scandal Scoop, User Hotspot
By Varinder Singh August 28, 2024	Moment in Time
Binance co-founder Ye Hi denied allegations of seized assets from Palestinians.	Hot Topic Buzz, Scandal Scoop, Breaking Rumors
User accounts linked to illicit funds were blocked only to comply with anti-money laundering laws. Crypto market saw notable uptrend after Binance co-founder refuted claims.	Hot Topic Buzz, Scandal Scoop, Law Watch, Crypto Surge, Binance Narrative, User Hotspot, Investor Vibes
The world’s largest crypto exchange Binance faced backlash after reports alleged the exchange of seizing crypto assets from Palestinians. However, Binance co-founder Yi He has refuted the allegations and revealed that only user accounts linked to illicit funds were blocked to comply with anti-money laundering laws.	Hot Topic Buzz, Power Players, Scandal Scoop, Law Watch, Crowd Reaction, Where It’s Trending, Binance Narrative, User Hotspot, Breaking Rumors
Binance Co-Founder Refutes Crypto Seizure From Palestinians	Hot Topic Buzz
Binance co-founder Ye Hi on August 28 denied claims that the crypto exchange has seized assets from Palestinians. She cleared that only a limited number of user accounts linked to illicit funds were impacted. These accounts were blocked from access due to alleged relation to terrorist groups.	Hot Topic Buzz, Scandal Scoop, Moment in Time, Where It’s Trending, User Hotspot
“As a global crypto exchange we comply with internationally accepted Anti-Money laundering legislation, just like any other financial institution. We will continue to educate users on how to safely and securely transact on our platform,” Ye Hi added.	Law Watch, Where It’s Trending
She further responded to users on X that Palestinians living in occupied territories can continue to use Binance and withdraw their funds.	Hot Topic Buzz, Where It’s Trending, User Hotspot
Ye Hi didn’t answer how many accounts were affected by the move, but she said “There are hundred level of accounts involved in illegal capital inflows.” Moreover, she stressed that blockchain is public and enables anyone to check the transfer details.	Viral Quotes
Other notable people also refused the claims including popular analyst Michael van de Poppe. He asserts the allegations were far from real and it was never about seizing all assets from Palestinians.	Power Players, Scandal Scoop, Breaking Rumors
The crypto market rebounded after Binance denied seizing crypto assets from accounts linked to Palestinians on directives by the Israeli government. The market is currently flashing signs of recovery, with a potential rally in the coming weeks.	Hot Topic Buzz, Scandal Scoop, Crypto Surge, Market Pulse, Investor Vibes
Bitcoin price and Ethereum surged more than 1% in an hour, but still trading at 4% and 5% down over the last day. BTC price is now back above $60,000 after falling to a low of $58,034. Low liquidity caused the latest crash in the crypto market which happened despite bullish news of Nasdaq filing with the SEC for a license to offer and trade Bitcoin index options and high odds of Fed rate cuts in September.	Crypto Surge, Price Action, Where It’s Trending, Coin Focus
Binance Co-founder He Yi Clarifies Token Listing Criteria and Addresses Market Volatility Concerns	Token Hype
Rebeca Moen Jun 04, 2023 18:38	He Yi’s Binance Listing Insights
Binance Co-founder He Yi has recently taken to Twitter to discuss the criteria for token listings on the platform, emphasizing that Binance strives to consider the majority of user demands when listing coins.	Token Hype
Binance Co-founder He Yi has recently taken to Twitter to discuss the criteria for token listings on the platform, emphasizing that Binance strives to consider the majority of user demands when listing coins. He stated that listing decisions aren't solely at the discretion of one person, including CEO Changpeng Zhao, but are a broader collaborative decision-making process.	Token Hype
In his tweets, He Yi also touched on issues related to coin performance and market volatility. He mentioned that some newly listed tokens have not performed well, while some lesser-known tokens have experienced drastic price fluctuations. In response, Binance monitors the wallets of project owners and market makers associated with the Launchpad platform. In addition, they are now requiring multi-party custody of tokens issued by project owners as part of mutual oversight.	Token Hype, Market Frenzy
"Addressing recent Initial Exchange Offerings (IEOs) that quickly achieved multi-billion-dollar market capitalizations upon listing, He Yi highlighted that ""a large number of projects come from the previous bull market, and are generally over-pursued by capital."" Consequently, the price of IEO projects listed on Binance is typically lower than the price of the last round of investor investments."	IEO Buzz, Transparent Economy
"He Yi also criticized the practice of directly listing projects based on market pricing given by users. He found this approach to valuing market capitalization unreasonable. ""Projects are often priced based on what users are willing to pay in the market, a point we find very unreasonable when it comes to market capitalization,"" he said."	Transparent Economy
These statements and actions underscore Binance's commitment to maintain fairness and transparency in their token listing process and to mitigate the risks associated with cryptocurrency trading.	Transparent Economy
Ronin Network token Collapse after Binance listing triggered heated discussions.	Ronin Token Crash
Binance co-founder warns of canceling projects in the case of leaks linked to listings.	He Yi
Binance will reward up to $5 million for correctly reporting insider trading information.	He Yi
Following a 20% drop in the RONIN Network token‘s value upon its listing on Binance, speculations emerged regarding the possible leakage of listing information on the exchange. Binance co-founder Yi He has since provided a comprehensive explanation addressing these rumors.	Project Cancel Warning
Binance Co-Founder Warns of Listing Cancellations	He Yi
Yi He, the co-founder of Binance addressed concerns and discussions within the community regarding the recent listing of RONIN. She acknowledged the issue of information leakage and announced internal adjustments, including stricter measures and consequences for any team members involved in listing processes found leaking information. She said:	Project Cancel Warning
ADVERTISEMENT	He Yi
Internal Adjustments: Binance will enhance internal management and fire isolation within the currency listing group. Any information leakage within the project may result in warnings and termination.	Internal Firewall Boost
External Partners: External business communication processes, including project research and token models, will be improved. Any leaks related to project currency listing information will lead to listing cancellations, extensions, or adjustments.	External Partner Rules
Technical Monitoring: Binance will further enhance technical monitoring to detect and address potential issues. This includes monitoring trading pairs and announcements, even though the content is encrypted, to ensure a secure environment for users.	He Yi
Yi He expressed gratitude for the community’s support and assured users of ongoing efforts to maintain transparency, security, and integrity in Binance’s operations.	Project Cancel Warning, Community Support
$5 Million In Rewards	He Yi
Binance co-founder Yi He has also unveiled a reward program aimed at encouraging reports related to currency listings and potential corruption within the platform. She emphasizes the platform’s commitment to transparency and integrity by offering substantial rewards for verified information.	Project Cancel Warning, Insider Reward Program
Yi He outlines the reward structure, stating that individuals who provide verified reports of corruption involving Binance team members will receive a security vulnerability bonus ranging from US$10,000 to US$5 million. Importantly, Binance will also keep the identities of those reporting corruption confidential to ensure their safety.	Project Cancel Warning
To further deter any post-termination activities, Yi He announces that verified corrupt employees who subsequently join other projects or funds will lead to the blacklisting of the corresponding projects and funds on Binance permanently. Additionally, major funds are invited to contact Binance for thorough background checks before extending any offers, reinforcing the platform’s commitment to maintaining a corruption-free ecosystem.	Project Cancel Warning, Blacklist Corrupt Projects, Background Checks Partnerships
This initiative aligns with Binance’s ongoing efforts to uphold high standards of security, trust, and ethical conduct within its operations.	Community Support
Host: Jenny Yang, founder of Star Finance	Host
Guest: YiYi, co-founder and CMO of Coin Security	Guest
Hello everyone, I am so happy to have this precious opportunity to communicate with yi Jie today! So let’s start our live broadcast today	He Yi`s Crypto Revolution
Today, I am very happy to talk with my sister about the contract transaction and the success of Coin security. To begin with, please allow me to introduce Yi Jie to you	He Yi`s Crypto Revolution
YiYiYi: Ok, thanks, Jenny	Guest
He Yi is cofounder and CMO of Coin Security.	Guest
In 2012, he joined travel TV and served as the host of beautiful Destination, How Far, How Beautiful the World is. In 2014, he became the co-founder of OKCoin and created OKCoin. In the same year, she became the guest of only you, a well-known career program, and popularized bitcoin as the representative of the post-80s female entrepreneurs.	He Yi`s Crypto Revolution
In 2015, I joined Junior Technology Co., Ltd. as vice President, responsible for technology and its product market.	He Yi`s Crypto Revolution
In 2016, we built the largest live streaming platform in China. After he Yi joined The technology, The company has completed two rounds of financing, with a market value of more than 20 billion yuan. It has three well-known mobile Internet products, including Miaopai, Xiaokaxiu and Yizhi.	Guest
A sparkling career resume!	He Yi`s Crypto Revolution
Q1.Jenny Yang: Coinstar announced the acquisition of digital currency derivatives trading service Platform JEX in early September. What’s your consideration?	Host
YiYiYi: Actually speaking of the team of JEX, they are also our old colleagues in those days. From the point of view of their personal ability or worthy of affirmation, I think it may just not meet a suitable position. And we started talking about getting them to join coinage a long time ago.	Guest
JEX team is a team of partial products and partial technologies. They will have more innovation possibilities in the direction of financial derivatives, but there will be some deficiencies in the market and operation. Coan hopes to help JEX in terms of brand and market.	He Yi`s Crypto Revolution
We will still let JEX take the contract and our contract to PK, but in a longer period of time they will put more time and energy to do options and other financial derivatives. In my opinion, it is a false proposition whether a company can only choose one homogeneous product type.	He Yi`s Crypto Revolution
For example, Tencent’s WeChat QQ, Tencent’s horse racing mechanism, the same company may do two identical products at the same time. Then there are, for example, pantene, Float, Head and Shoulders under p&g Prestige. They may have different brands, but they all sell shampoo. We hope to provide users with more innovative and easy to use products through the internal competition between JEX and coin-safety contracts.	He Yi`s Crypto Revolution
Q2. Before the layout of contract track, many exchanges have laid out this field for a long time, such as Bitmex, OKEX, Huobi, Bibox, Matcha and so on. Compared with them, what are the differences and advantages of contract trading in Bitmex? How to differentiate competition?	He Yi`s Crypto Revolution
(YiYiYi) : currency Ann’s on-site contracts with other contracts, orders, we compared to the station before the contract and contract more financial rocks, because it is made of the CME group, that many users, especially the big customer, they turned out to be for traditional contract, will be familiar with, they will be very simple and easy-to-use, Ann can also perceive currency financial background and professional team.	Guest
First of all, you’ll notice that our product is a positive contract for USDT margin, which is a much lower barrier to entry for traditional institutional or financial users.	He Yi`s Crypto Revolution
Second: price movements in past contracts were easy to manipulate. So in the process of product design, we take the composite index of multiple platforms, and the ratio of this index is not fully disclosed at present. If you want to manipulate the market, you need to manipulate the spot of these several platforms, in order to achieve the purpose. In this way, the cost is much higher, and correspondingly, the probability of being manipulated by Zhuang Zhuang market is much smaller. Trying to crash the contract market on Coinan or JEX will cause no real harm to users, except for ugly K-lines.	He Yi`s Crypto Revolution
Again, you will find that our platform is not out of stock, it is the use of intelligent closing mechanism, is a mechanism to close a position. That is to say, after you close every hand will go to cheek your margin rate, this system matchmaking has higher requirements. The in-station contract has a Matchmaking engine comparable to Nasdaq, which can meet the requirements of real-time detection data.	He Yi`s Crypto Revolution
Finally, intra-industry contract comparisons are often criticized for sharing. Coin-ahn station contract is the use of automatic reduction mechanism, so the user’s profit will not be apportioned. Then we also set up an insurance fund, which will act as a buffer, so as to reduce the probability of automatic reduction.	He Yi`s Crypto Revolution
To put it simply, COinstone has always put the interests of users in the first place, and has adopted multiple measures in the design process of the contract to help users reduce risks.	He Yi`s Crypto Revolution
Thanks to the exploration and efforts made by the previous colleagues, of course, we can see that there are some COINS and security contracts in the market, which are generally not on the dot. Maybe the people in their water army do not know what the contract is.	He Yi`s Crypto Revolution
Q3. Jenny Yang, moderator: Risk control is the core of contract trading. In this respect, what measures did money security do to protect the safety of user funds?	Host
(YiYiYi) : The contract in Coin-An station should be one of the most stable products among the contract products of the mainstream trading platform at present. Our matching engine can be comparable to the matching engine of Nasdaq. It can handle 100,000 orders per second, and there will be no congestion under extreme conditions.	Guest
For example, under the bitcoin boom these days, the contract products of some platforms are delayed and cannot be opened. It is commonly known in the industry as “unplugging”. The station contract of Money and security is still as always in high speed and smooth, can hold the extreme market trading volume boom, the stability of the system is the cornerstone of all risk control measures.	He Yi`s Crypto Revolution
In terms of risk control, our closing price is based on the spot price index, rather than the price of a single platform, which reduces the number of positions that explode because a single platform has been manipulated.	He Yi`s Crypto Revolution
Our intelligent closing mechanism, which is to close the position hand by hand, for the user to retain part of the position, there is no concept of a burst. Before there is a small black said in advance of the explosion, the currency and safety station contract itself is not the explosion of this matter, but in the current margin rate to maintain the margin rate, start the operation of intelligent liquidation. Then we will also optimize and adjust this margin rate.	He Yi`s Crypto Revolution
Finally, we set up an insurance fund, which is one of the few in the market that will actually pick up a user’s position, and is another safeguard before the automatic reduction. Since we put the contract online, there has not been an automatic reduction.	He Yi`s Crypto Revolution
The platform should do what the platform should do in a down-to-earth manner, and only earning the commission fee is a good risk control for users.	He Yi`s Crypto Revolution
Q4. Jenny Yang: How does Coan deal with the extreme market? How to minimize the loss when the market is out of control?	Host
YiYiYi: The contract product itself is a tool to cope with extreme market conditions and realize hedging arbitrage. Meanwhile, the contract itself is a relatively high-risk product, just like two sides of a sharp weapon.	Guest
We also stand on the shoulders of predecessors for the product of a lot of structural innovation and adjustment, as much as possible to protect the leek. Now, as I said, in terms of system stability, we have been tested, even in the event of a big market, the system itself is stable; Then, whether it’s spot price indices, smart closing mechanisms, or insurance funds, they all protect users from different dimensions. I can’t say that the COinstar contract will never happen, but I can say that coinstar is a team that accepts its imperfection and keeps on iterating, as well as a team that doesn’t shy away from taking responsibility.	He Yi`s Crypto Revolution
Q5.Some people can get rich overnight, but some people can get rich overnight. There have been tragic events before. There is no doubt that contracts are very high-risk investment products.	He Yi`s Crypto Revolution
(YiYiYi) : Well hedged risk, as I said before; The ones that don’t do well do lose their money; Before, I often received private messages from people about how I lost money because of the contract. First of all, I don’t recommend anyone who lacks self-control to sign a contract; In financial investments, we usually recommend that no more than 30% of assets be invested in high-risk categories, and the same is true for coinage.	Guest
Q6. Jenny Yang: Are there any current incentives for professional investor quantification teams or market makers?	Host
(YiYiYi) : The rate structure of COIN security is exactly the same as that of order booking, so there has been no professional market trader in spot or contract. The recent peer even gave the futures and spot are listed at a discount to maintain the prosperity; Many trading clients have also offered to trade at a discount elsewhere; We don’t even give a discount, so we have a market plan. We are now looking for market makers around the world, and we invite this trading team with an excellent listing strategy to join coon’s global Market Maker program. Interested teams can email mmprogram@binance.com or contact the key account manager directly.	Guest
Joining coan marketmakers can enjoy special processing rates, higher API orders and, of course, exclusive services from key account managers.	He Yi`s Crypto Revolution
The final benefit of full competition is the user, perhaps the current big customer is more obvious, we also launched his VIP is my VIP +1 activities	He Yi`s Crypto Revolution
Q7.Recently, Coin security announced the concept of “three-body coin security”, and I personally like your slogan “Lead, Not Follow”. One of the three bodies includes the domestic market. So the question is, will coin return to the Chinese market? What are the plans?	He Yi`s Crypto Revolution
YiYiYi: The Three-Body Problem is one of my favorite novels. In fact, it is an iterative process of COinstone itself. In the past, Coinstone upgraded from a trading platform to a public chain. But now, coin from a public chain and back to do compliance, to do product support and business line support, in fact, is a dimension reduction attack.	Guest
“Lead, not Follow” is a favorite of CZ. We are doing a company, develops the market, to really succeed, impossible to say by following others, and you have to have more innovation, to lead the development of the industry, such as currency Ann Launchpad, COINS, the community vote on currency, SAFU fund, currency Ann chain, COINS, ecology, these are the currency created innumerable first, we are pleased to see that these innovations not only bring money, influence, also promote the industry constantly iteration.	He Yi`s Crypto Revolution
Currency security is a global strategy from the very beginning. Users come from more than 200 countries and regions. China is also one of the markets that currency Security attaches great importance to. So it can’t be said that the return, to be exact, money has been listening to the hearts of users, but also aware of their imperfections. The previous experience of Chinese users was really forced by the wall in terms of access fluency. At present, the technology and product team are also constantly doing product iteration to optimize the experience in this area. Welcome to experience Binancezh.com, you can feedback to me.	He Yi`s Crypto Revolution
Q8.Thanks to my work, I had the honor to participate in a large number of domestic and international high-quality conferences and industry activities. When I communicated with you, I found that you all had a high opinion of COIN security. In your opinion, what factors have made COBE stand out from the global competition of exchanges?	He Yi`s Crypto Revolution
YiYiYi: First of all, the timing is important. We were founded at the beginning of the bull market. We happened to trade coinage. In fact, at that time overseas B network and P network has been rising; It also happens to be the time when Crypto erupts;	Guest
Secondly, due to geographical location, IT follows the strategy of globalization. At the beginning, it consists of offices and teams in several countries, which will not be greatly impacted by the policy adjustment of a certain country.	He Yi`s Crypto Revolution
It is also a blockchain ecosystem that includes trading platforms, Launchpad, Labs, Research institutes, Colleges, Info, Charity, coin Security chain, DEX, Binance X, Trust Wallet.	He Yi`s Crypto Revolution
Finally, we have a hardcore team with the same ideas and values and the same goals. We hope to achieve some awesome things. In order to achieve the goal, some short-term personal interests can be given up, so that the team will only have a small amount of money to subsidize the refund users in the early stage of COIN security. The first person in the trading platform to get the wrong money back to the user; Rather than the BNB party rushing to cash in or get results, we all believe airbnb is just getting off the ground.	He Yi`s Crypto Revolution
Q9.In recent months, exchanges have sprung up again. People even joke that there are more sickles than leeks in the market.	He Yi`s Crypto Revolution
In such a competitive field, do you have the confidence to maintain the leading position? What are your plans and ideas?	He Yi`s Crypto Revolution
YiYiYi: The biggest advantage of COIN security is its professionalism. Although people often joke that coin security cannot be opened, you can ask the users of professional trading institutions that coin security is far more professional in the financial field than its peers.	Guest
The second is the technology, which is not a network optimization technology, but a technology to do the public chain is really to develop the public chain itself. Some time ago, the coin public chain just completed the quantum exchange. Archimedes was upgraded yesterday.	He Yi`s Crypto Revolution
Second, safety. As the old saying goes, a long illness leads to a cure. The security level of coin security is far superior to that of peers. Another point is that some platforms may not have the ability to pay for security incidents. We’d rather put the question on the table.	He Yi`s Crypto Revolution
The last point is the value, a team is easy to make money to satisfy the status quo, or “cut leek”, in the face of temptation to stand firm is not easy; Coan is a team that has seen money and made money. We have our own insistence, which is not easy, but we will stick to it.	He Yi`s Crypto Revolution
Also good news: Airbnb and Amun are ready to launch on the Swiss stock exchange.	He Yi`s Crypto Revolution
BNB ETP will pave the way for more innovative products to follow and boost the global popularity of cryptographic assets. Airbnb was initially used to pay transaction fees and credit discounts on airbnb platforms, but has since evolved into common chain currency. Currently it is one of the most widely used practical tokens in the blockchain sector with a market value of more than 2.5 billion US dollars, ranking eighth in the world.	He Yi`s Crypto Revolution
Yi He, cofounder of Binance, the world's largest cryptocurrency exchange, has issued a warning to the crypto community regarding the prevalence of scams on Telegram, a popular messaging platform widely used by cryptocurrency enthusiasts.	Telegram Scam Alerts, Stay Vigilant! Security Tips, Blockchain Revolution, Social Media Risks Exposed, Leadership Disruptors, Crypto Trends Redefined
"He cautions the crypto community in a tweet, saying, ""I never discuss investments and listings with project parties. My Telegram name is not Yi He. Please note that on Telegram, the bio allows for the use of the same username as yours, which can then be used for scams."""	Telegram Scam Alerts, Binance Power Moves, Stay Vigilant! Security Tips, Token Listing Secrets Unlocked, Blockchain Revolution, Venture Capital Titans, Social Media Risks Exposed, Crypto Trends Redefined
I never discuss investments and listings with project parties. My Telegram name is not Yi he.	Telegram Scam Alerts, Binance Power Moves, Token Listing Secrets Unlocked, Venture Capital Titans, Social Media Risks Exposed
Please note that on Telegram, the Bio allows for the use of the same username as yours, which can then be used for scams. pic.twitter.com/QaEXc2O6p8	Telegram Scam Alerts, Stay Vigilant! Security Tips, Social Media Risks Exposed
— Yi He (@heyibinance) March 20, 2024	Leadership Disruptors, Crypto Trends Redefined
The Binance CEO shared a screenshot and a tweet of one such scam evolving around the Binance Labs Incubation program.	Telegram Scam Alerts, Binance Power Moves, Stay Vigilant! Security Tips, Incubator Game-Changers, Social Media Risks Exposed, Leadership Disruptors, Crypto Trends Redefined
Binance incubation is a two-month program with mentoring sessions and fireside chats with industry luminaries and a network of other founders. Applications for the Season 7 program are open until April 15, 2024.	Binance Power Moves, Token Listing Secrets Unlocked, Incubator Game-Changers, Leadership Disruptors, Crypto Trends Redefined
Binance Labs is run by Yi He, who cofounded Binance with former CEO Changpeng (CZ) Zhao. The venture capital business is a frequent early-stage sponsor of cryptocurrency ventures. It also operates both as a venture capital investor and an incubator, with one program focusing on firms building on the BNB Chain and another that is blockchain-agnostic.	Binance Power Moves, Blockchain Revolution, Venture Capital Titans, Leadership Disruptors, Crypto Trends Redefined
According to reports, Binance Labs has become an independent entity and severed some ties with the larger group. Crypto exchange Binance quietly spun off its $10 billion venture capital arm earlier this year, in one of the most notable developments of CEO Richard Teng's early tenure.	Token Listing Secrets Unlocked, Blockchain Revolution, Venture Capital Titans, Leadership Disruptors, Crypto Trends Redefined
The latest warning from the Binance cofounder highlights the importance of vigilance and caution when engaging with messages or offers that seem too good to be true. Scammers are becoming more skilled in their tactics, so crypto users must remain watchful and wary of any unsolicited messages or offers they receive, particularly on social media.	Telegram Scam Alerts, Stay Vigilant! Security Tips, Blockchain Revolution, Social Media Risks Exposed, Leadership Disruptors, Crypto Trends Redefined
In today's news, WSJ claimed that Binance detected that popular market maker DWF Labs was engaged in market manipulation.	Binance Whistleblower Drama, Hashtag Mania, Altcoin Price Shenanigans, Fraud Alert Headlines, PR Powerplay, Crypto Price Wars
Based on the statements of a former Binance employee, WSJ claimed that Binance researchers manipulated the prices of DWF Labs' Yield Guild Game (YGG) token and at least six altcoins in 2023.	Binance Whistleblower Drama, Yi He’s Mic Drop, Crypto Clapback, Hashtag Mania, Altcoin Price Shenanigans, Fraud Alert Headlines, PR Powerplay, Crypto Price Wars, Yi He’s Twitter Roast
Related News Bitcoin Exchange Binance Detected DWF Labs Engaged in Market Manipulation!	Binance Whistleblower Drama, Hashtag Mania, Altcoin Price Shenanigans, Fraud Alert Headlines, PR Powerplay, Crypto Price Wars
While DWF Labs X denied WSJ's claims, a Binance spokesperson also denied the news and told Cointelegraph:	Binance Whistleblower Drama, Denial Blitz, Yi He’s Mic Drop, Hashtag Mania, Fraud Alert Headlines, PR Powerplay, Yi He’s Twitter Roast
“Binance categorically denies any allegation that its market surveillance program allows market manipulation on our platform. We have a robust market surveillance framework that detects and takes action against market abuse. Any users who violate our terms of use will be excluded; we do not tolerate market abuse .”	Binance Whistleblower Drama, Denial Blitz, Hashtag Mania, Regulatory Face-Off, Altcoin Price Shenanigans, PR Powerplay, Market Watchdog Mode, Crypto Price Wars
Sarcastic Thanks to WSJ from Binance Co-Founder Yi He!	Binance Whistleblower Drama, Yi He’s Mic Drop, Hashtag Mania, Fraud Alert Headlines, PR Powerplay, Yi He’s Twitter Roast
A reaction to WSJ's manipulation allegations came from Binance co-founder Yi He. Yi He, who denied the allegations from the X account and stated that they had no privileged actions against any fund, said the following:	Binance Whistleblower Drama, Denial Blitz, Yi He’s Mic Drop, Crypto Clapback, Hashtag Mania, Fraud Alert Headlines, PR Powerplay, Market Watchdog Mode, Regulators Closing In, Yi He’s Twitter Roast
“We monitor market makers closely. We do not target any fund or market maker. However, there is great competition among market makers and there is a lot of fraudulent behavior.	Maker vs Maker Showdown, Yi He’s Mic Drop, Altcoin Price Shenanigans, Fraud Alert Headlines, Crypto Price Wars, Yi He’s Twitter Roast
