Content	Topic
He Yi The positive myth seeing the founders success and achievements, when the reality behind the scenes is that we work hard every day, endlessly, to continue to develop our strengths and achieve rapid growth .	He Yi
A taboo myth Successful women or founders use their appearance to gain more opportunities, or its a result of their accomplishments and its a form of discrimination. I personally dont care about peoples criticism of me, whether it is myths or misunderstandings, I dont live for others and have a clear understanding of who I am. Successful founders and leaders continue to break down the myths, misunderstandings, and stereotypes they face every day.	He Yi
Authority Magazine Is being a founder suitable for everyone? What specific characteristics do you think increase the likelihood of a person being a successful founder, and which type of person might be better suited to looking for a normal job as an employee?	He Yi
He Yi Founder Traits - Successful founders are lifelong learners. They are ambitious, have a bottom line, and have strong execution capabilities. They know that their background originality is not important, but their skills and ability to make effective decisions, especially in the face of uncertainty. When they face the unknown, they know that perseverance is more important than giving up. Entrepreneurship is fraught with uncertainty and requires making good decisions under challenging circumstances with limited information. They know the importance of the bottom line, and the importance of iterating and executing quickly.	He Yi
Job type Most young professionals start their careers with a regular job type. They should start their careers by striving to gain a comprehensive understanding of the world. This will allow them to gain experience in different fields and better understand themselves and the nature of their work. In this way, they will learn how to withstand pressure and develop qualities such as vision and strong execution.	He Yi
Binance has an entrepreneurial culture that encourages internal entrepreneurship, allowing people to challenge themselves and launch their own projects in a relatively low-pressure environment. We like to recruit employees with entrepreneurial experience because they are more likely to have a better understanding of themselves and their abilities.	He Yi
Authority Magazine What are your 5 things I wish someone told me before I started my business? Why please share a story or example each?	He Yi
He Yi Only one. Dont dwell on regrets, accept negative or positive outcomes with grace because its a part of life and will provide valuable lessons no matter what.	He Yi
I prefer to be aligned with stakeholders, maintain transparency, and accept all potential outcomes once a decision is made. While some may seek more knowledge or advice before embarking on a project, I believe failure and difficulty are essential to personal growth and we cannot fully understand them unless we experience them firsthand.	He Yi
Authority Magazine How have you used your success to make the world a better place?	He Yi
Yi He When I co-founded Binance, we helped reshape the crypto industry to make it more user-centric. For example, we have significantly reduced transaction fees to benefit more users. We also took the lead in building a leading customer service system when the industry was just starting and developing to help users solve problems in a timely manner. At its core, the crypto industry is focused on increasing efficiency today, which aligns with our mission to advance monetary freedom and our unique user-centric culture.	He Yi
Additionally, I helped create Binance Labs, our venture capital and incubation arm to give back to the industry and expand adoption by supporting and investing in strong projects and startups with long-term growth potential. We have invested in cryptocurrency and Web3 projects, managed over 9 billion in total assets, covered over 250 portfolios from 25 countries on 6 continents, and incubated 50 projects.	He Yi
We help many young entrepreneurs and startups build and grow their businesses, which is what drives Binance Labs and Binance.	He Yi
Throughout my tenure at Binance leadership, I have also made a commitment and effort to give back to the community, including spearheading the creation of our philanthropic arm, Binance Charitable Foundation. Binance Charity is the first blockchain-powered non-profit organization dedicated to promoting transparent philanthropy. We have donated more than 30 million to date through a range of global sustainability efforts, including philanthropic work and donations, to help alleviate poverty and economic inequality and increase education and opportunity for women.	He Yi
We have launched several philanthropic initiatives such as the Lunch for Kids Programme, Web3 Scholarships, Pink Cares Project a social impact initiative to tackle period poverty and many more.	He Yi
Authority Magazine You are a huge influencer, if you could start a movement that would bring the most good to the most amount of people, what would that be?	He Yi
He Yi Many years ago, someone asked me what kind of person I wanted to be. I said I wanted to be someone who could change the world.	He Yi
So far I have achieved some small efforts aimed at bringing positive change in the world, but it is not enough and I will continue on this path to do more.	He Yi
Cryptocurrency makes money more efficient, and I want to help more people including regulators and key populations see the real value behind it and how it can help improve lives in society as a whole.	He Yi
Mainstream adoption of cryptocurrencies will bring huge benefits to the majority of people and is an effective way to drive financial inclusion and improve lives for greater well-being. I believe that in 10 years, cryptocurrencies will be as standard a part of daily life as mobile phones or electronic payments. It will be transmitted in global value chains in the same way that the Internet transmits information. We and the industry are only just getting started. We hope that through cryptocurrencies Further promote financial freedom and fairness, thereby improving the lives of more people.	Future Vision
Authority Magazine Is there a person with whom you would love to have a private breakfast or lunch, and why?	He Yi
He Yi Overall, I hope to have dinner with and learn from successful people in various fields, especially those who are industry pioneers. Examples include Elon Musk, who embodies first principles and continues to push boundaries Jeff Bezos, who emphasizes long-term thinking and Sheryl Sandberg, who empowers many women in the workplace.	Inspirational Figures
Also, I admire Lady Gaga and Angelina Jolie, who remain true to themselves, ambitious, and independent even in the face of criticism.	Inspirational Figures
