Content		Keywords
like we are doing things in different kinds of things for this right like		
there's the the git coin grants quadratic		
funding in the ethereum ecosystem um there's i mean obviously these uh dog		ethereum
coins that just happens like i guess accidentally um there's		
other projects um that like for example you know		
uniswap has um their uniswap dao that just has a huge		dao
amount of funding and like we haven't seen yet how that's		
going to be deployed but you know it could be potentially		
deployed to do lots of really good and amazing things		
do you see ethereum as essentially a mechanism		ethereum
to uh fight for social causes um i definitely see ethereum as		ethereum
being a mechanism to fight for definitely some some specific		
things that are um that are social causes um like		
just you know the fact of creating an open financial system that anyone can		
participate in no matter where they are in the world that's a social cause		
i'm just you know giving people the ability to		
organize and create projects even if it's five people in five different		
countries i think that kind of inclusiveness i think		
that's a social cause and it's a core a core crypto value		crypto
um but then at the same time like the other		
important kind of part of the magic of ethereum that you have to balance that		ethereum
against is that it is also this open platform where ultimately you know		
the thing that go the things that are on ethereum is just		ethereum
the things that the community makes of it		
well you kind of briefly open the door so let's go there		
when it comes to uh government regulation of crypto		crypto
uh what's the best case scenario what's the worst case scenario		
in terms of uh you know as you've kind of mentioned		
ethereum challenges the the the power centers of the world		ethereum
and uh how do you see the interplay between govern		
governments and this new technology that resists centralized power		
best case and worst case the the best case is um that um		
you know blockchains continue to prosper and we figure out scalability is so that		
people can actually start doing things on block all you know all		
of the amazing use cases that people have been talking about instead of today		
where a lot of the great stuff gets priced out		
because you know transaction fees are at five to ten dollars		
and then we see a lot of different um amazing applications happening on		
blockchains you know it could be like dao is creating new ways for people		dao
to inter interact and organize with each		
other new ways for artists to get funded and		
just all sorts of these amazing things and		
there's just enough public um public support and just enough people		
that see that you know look crypto is clearly		crypto
doing a lot of good things and and you know there are definitely areas where		
there's tensions but in those areas where there's		
tensions like there could be some kind of		
creative and interesting approaches that get figured out right like		
you know the concept of corporate taxes for example right like		
you know it does it that would disappear as a revenue stream if theoretically		
corporations just all get replaced by taos but		
i know like maybe there's some other creative		
way by which dao like dao's themselves can kind of be co		dao
you know have some kind of encoded governance that ensures that they		
have at least some of us some kind of bias towards serving the global public		
good and you know maybe it does enough of the		
daos can do enough of that that people are happy with it and and		
you know there are going to be things that people are unhappy about there's		
always going to be the people that you know wants to surveil everyone but		
if on the the kind of effect of crypto from		crypto
just empowering people is greater than that		
and greater than that in a way that people can just easily see		
then you know that would be a good scenario right and we'll just		
like become incorpor kind of incorporated and accepted the same way		
as happened uh with the internet um but the work in the worst case scenario		
would of course be just like people like suddenly you know		
flipping and going into moral panic mode and just		
you know oh my god like this technology is used by like you know		
insert bad group of the day and then i don't think governments have the ability		
to ban crypto to the extent of just		crypto
complete like preventing blockchains from existing but they		
definitely have the ability to really marginalize it right		
like if you just ban all exchanges i can ban all links from the fiat ecosystem to		
crypto and you know you ban all kind of		crypto
mainstream employers from accepting or paying in cryptocurrency		cryptocurrency
then like you could you can successfully like turn it into a		
like you know a fairly kind of niche counterculture thing that		
has much less impact than otherwise would so it's		
somewhere between the good scenario in the bad scenario i'm obviously hoping		
for the good well that's interesting also the tension		
between governments and uh companies like if you have a bunch of		
billionaires or a bunch of companies like tesla investing in bitcoin		bitcoin
and then governments resisting that it's interesting who wins out in that worst		
case scenario and almost when companies		
and uh rich quote unquote respectable people		
embrace uh cryptocurrencies bitcoin ethereum		ethereum, bitcoin
so on even the dot coins uh it's almost sends a signal to everybody else		
that this is this is a revolution that's here to stay		
on this one little tangent that you brought up		
this is almost an outdated idea but it's still with us which is		
cryptocurrencies are used for illegal activity for drugs for crime		
and so on is there some sense that worries you that if		
uh if cryptocurrency if ethereum runs the world		ethereum, cryptocurrency
then crime making money from crime will be easier		
there's always that possibility like at the same time i think if you look at you		
know the world as a whole and like the way		
all the other technological trends are going like you		
know in-person surveillance is just going up every year		
right yeah like the if you commit a crime in you know meat space it's		
getting harder and harder to get away with it		
so like you know if he wants to do something		
and and this is something that's just like happening as a result of		
you know just better technology information and information transparency		
like a lot of it's hard to prevent even if		
you really tried um so i the world		
where like things go dark to such an ex you know as the the one the police hawks		
sometimes like to say um to such an extent		
that like you know oh my god the criminals are committing crimes with		
impunity and we can't see anything like that just seems		
unlikely um but you know on the other hand like		
the world uh where there just you know is no privacy for example or		
um the world where there just like is no no ability to uh kind of act		
outside of the the confines of you know mainstream institutions like		
it's uh some that's something that's more realistic and that seems like		
something that uh could lead to a lot of kind of		
a lot of scary things right and like even from a government's point of view		
right like i think governments over the last few years a		
lot of them they're very worried about sovereignty you know they're worried		
about like if their um country is economies and you		
know social environments they're just completely		
dependent on basically foreign tech companies		
controlled by foreign governments like you know governments are not on team		
government right that's like you know the indian government is on you know		
team india you know the russian government is on		
team russia and so forth right so like you know they don't want the us to		
be able to like have this big backdoor into everything		
uh so i mean i do think that a balance is needed but		
at the same time i uh do and think um i guess		
i i definitely like worry more about the messiah the possibility that		
just like without things like crypto uh kind of acting outside of		crypto
institutions becomes too impossible and i don't even necessarily mean		
outside of governments even just you know outside of corporations like		
becomes too impossible and there's just like terrible things that come as a		
result um and if things going in the other		
direction like it obviously is a a risk but		
you know at the same time i think in the long term like a crypto can		crypto
potentially even like offer defenses as much as attacks against that sort of		
thing yeah many throughout history many of the		
most destructive things came from centralized institutions versus		
sort of from the people operating in the shadows		
and you know i've been talking to a bunch of psychedelics folks		
that people doing researchers like greg doblin		
in johns hopkins there's a lot of exciting research on psychedelics		
and one thing you could say about operating at the edge of legality		
it could actually accelerate the adoption of particular things like		
whether it's marijuana or psychedelics they can help people out it almost		
accelerates the policy it forces the policy to catch up to		
where the people stand right so there's a positive way of doing		
things that are in the gray area of legality		
and creating a market that allows people to to uh		
in a safe way be able to participate in this gray area		
yeah i mean the other thing to keep in mind of course is that the		
the set of like the kinds of things that just like payment processors as		
companies try to restrict people you from is much larger than the		
set of things that's illegal right right like part of that is because they		
want to be super conservative and like the more layers you have the more		
they're like kids conservative because they're scared		
of what what the layer below them will do to them		
sometimes they have their own you know moral opinions of various kinds		
you know they go after lots of people right like they make life really hard		
for you know like sex workers for example		
and like you know psychedelics as you mentioned		
there's uh like a lot of activity even including stuff that is		
totally legal that just you know there's this like		
you know shadow like paypal credit card governments or whatever you want to call		
it and no no that makes it just hard to		
participate in this stuff so i think like reducing the number of		
intermediaries is definitely normally a good thing all right let's		
talk about one of the most exciting uh technologies like technically		
philosophically like socially financially in every way		
which is ethereum 2.0 there's a million things to talk		ethereum
about but at the step one is probably a good thing to do		
which is can you briefly summarize your vision		
how ethereum 2.0 will make ethereum more scalable		ethereum
secure and sustainable sure so i think recently we've actually been		
kind of de-emphasizing the eth 2.0 branding i guess so the reason		
behind that was that originally we envisioned something more		
like a big grand event where you know all the good things would		
happen at the same time and it would be a new blockchain		blockchain
and it would be a new protocol and people would have to take a lot of		protocol
effort to migrate over but later we've slowly changed the		
roadmap over to something that's much more incremental		
right so you know proof of stake happens kind of over time and then sharding gets		
added over time and all these features get added over time		
and so the experience for just a regular ethereum user		ethereum
still feels very seamless right it's like maybe a little bit more complex		
than the hard forks that we've already done but from a user's point of view but		
like not by that much right uh so like		
the big two things that are happening right these are		
what used to be considered the two flagship features of use 2.0 and now		
they're just you know the flagship features of the you know		
the next uh evolution of ethereum yeah as uh proof		ethereum
of stake and sharding right so proof of stake is		
a consensus algorithm it's the or it's not just mechanism i		
should say um it's the difference is that like an algorithm		
is something that you run by yourself a mechanism		
is like it involves interactions between people and it could even include		
incentives and all of that uh so the consensus mechanism		
uh so by which nodes in the network agree on you know which		
blocks came in which transactions came in in what order		
uh make sure that once a block gets accepted it can't get reverted and all		
of these things that we expect from a blockchain		blockchain
um so existing blockchains you know including bitcoin including the ethereum		ethereum, bitcoin
of today and including a lot of them they use proof of work		
right uh so the reason why we need proof of anything		
is be it is because like they serve this function that i call kind of economic		
civil resistance so that's obviously you know a big word		
for especially if you've never heard of		
sybil's before but like the basic idea is right that you have a network and you		
have lots of computers that agree on like which block to accept and		
sometimes you get you know two blocks that get published at the same time and		
you just have to agree on an order so there has to be some kind of voting game		
yeah but then the question is well in this voting game you know who get who		
gets a vote who gets to participate now the pro you can't say one person one		
vote right the reason why you cannot say one person one vote is because		
you need some kind of like authority or some kind of mechanism to say you know		
who the the humans are like and if you don't		
have that then a bad guy could just come in with a		
virtual machine or with a computer that has		
on it 10 billion virtual machines that have 10 billion you know virtual nodes		
and then just like say look i'm 99 of the network i should control everything		
uh so to prevent this what proof of work and proof of stake both do		
is they basically say well the weight of your vote like how much influence		
your votes have in the consensus is proportional to like what quantity of		
economic resources you bring in so in the case of proof of work you		
prove what economic resources you have because your economic resources are		
computers and you prove that you have them by just		
running them 24 7 using these hash algorithms right so this does		
solve the problem right because in order to		
attack the network you have to come in with more computers		
and more money invested into computers and electricity		
than the rest of the network puts together and that's extremely expensive		
in proof-of-stake instead of relying on people with computers that are		
just constantly cranking out hashes 24 7 you		
as you're like a unit of economic resources you just use		
like holdings of coins inside the system right so all of these blockchains they		
have some kind of coin in them bitcoin has bitcoin ethereum has ether		ethereum, bitcoin
um you know they all have a coin so why not just use that as the economic		
the economic resource that you're using to like measure participation		
um so that's like the quarry distinction between proof of work and		
proof of stake um i like proof of stake and i've liked		
proof of stake for many years basically because like it just requires		
much less ongoing resource consumption right		
like with proof-of-work um you know you have to like actually go		
and buy these physical computers and these days um you know yeah they		
have specialized hardware asics um application specific integrated circuits		
you have to go produce them you have to go buy them and unless you have millions		
of dollars you know you have to buy them from one of these other people who		
creates them and those other people often end up		
taking a huge cut of the profits themselves		
uh and then you know you have to plug them in you have to just		
burn all of this electricity that's just um running 24 7. so		
it consumes a huge amount of energy right and it gets not just energy it		
also you know just to create the hardware		
right like people focus a lot on energy but like actually		
about half the cost of proof of work mining is the cost of the hardware		mining
um so hardware is a very big deal too um and you know you need		
this like these this really big and powerful with very specialized hardware		
another kind that fills up these big warehouses		
so proof of stake you don't you don't really need that much electricity you		
just need just a little bit to run right to run a regular computer		
um you can run proof-of-stake validators on computers that you already have		
um so it's just much less resource intensive and like this is		
good for a few reasons right like one is you know the kind of environmental		
rationale that you know you're not breaking the		
environment um the second is that you're not taking away		
electricity and like other resources from other		
people i mean like right now there's i think just today i saw a story about		
like iran wanting to shut down some bitcoin mining because		bitcoin, mining
it was just grabbing up so much electricity that it was you know		
outbidding the nearby towns and they just		
didn't have enough um and then there was like chia that was the one that's doing		
proof of like hard disk mining basically it's just like grabbing up so many hard		mining
disks there's a there's a shortage right so		
that's the second reason and then the third more selfish reason is that		
because participating in consensus does not require so much energy		
expenditure you don't need to pay people as much to participate		
right so like bitcoin and ethereum they both issue		ethereum, bitcoin
somewhere around four percent of the total supply every year right now		
to miners so ethereum is about 4.7 million ether		ethereum
and the current supply is about 115 million but with proof of stake like we		
expect it'll be somewhere between 500 000 and one and one million per year		
um so so that means you know this the supply doesn't have to you know		
increase so quickly um so one of the pros that uh		
that people sort of argue for the proof of work is that uh it is secure because		
it's much more difficult to sort of as you've highlighted is		
difficult to participate is there um is what are your thoughts		
about the security of the proof-of-stake mechanism		
is is there ways to make it secure so i think proof of stake is very secure uh		
because in order to be able to attack the system		
you need to have like basically as much stake as the rest of		
the network right so that means like right now for example		
we have five million each staking so you have to come up with five million each		staking
and then join the network and then the the other so five million		
ethers a lot right it's like um how much is it now like 15 billion		
dollars so that's actually more than i i believe the cost of attacking the		
bitcoin network and then the second thing is that		bitcoin
recovering from attacks is much easier in proof-of-stake than proof-of-work		
right because in proof-of-stake you have like first of		
all we have for many kinds of attacks that you do against this network		
we have this concept of like automatic slashing right which basically means		
that in order to like revert a finalized		
block so if there's one block that's like		
accepted by the network and you try to convince the network to		
kind of revert that block and accept a different block in order to make that		
kind of attack you basically have to have your		
validator like a big portion of your validators		
signed to conflicting messages and this is something that like once		
these messages are on the network you can go and prove like		
look these people did it and so we have this feature in the protocol		protocol
called slashing where you basically take all these people who provably misbehaved		
and you burn their coins right and you don't burn anyone else's		
coins now there are other cases like for example		
if instead of reverting blocks the attack just tries to censor everyone		
right then what you do everyone who got censored would just like basically		
create the minority chain um and then the community would		
basically have to do a soft fork right they would just have to say like look		
this chain is clearly attacking us this chain is		
the one not attacking us and so we're going to join this chain		
and then what happens is that on that new chain the attackers also lose a lot		
of coins right yeah so the difference between		
proof of stake and proof of work is that in a proof-of-stake system like		
you can identify specific participants and you can say you know		
these and like this isn't like you know a human going in and saying i don't like		
you i don't like you i don't like you this is like automated right		
you can so the slashing process is automated yes		
is there ways it can go wrong so that's a painful process where the coins are		
burned um it is painful yes i think uh		
i mean the one big unknown of course is like if		
an attack actually happens and like if an attack happens that requires the		
community to actually choose one of these minority forks		
then like what would the the community actually successfully coordinating on		
this look like right like it's like you know we can talk about it		
and we can you know write like science fiction novels about it but		
like until it's happened you don't really know the details of like what it		
looks like and how difficult it is what are the s of communication		
for the community if you can enlighten me a little bit like what you		
know uh in many ways in the political realm		
twitter is often used as a way to kind of have these emerging phenomena of		
large groups of people coming to a consensus right about a particular idea		
and then there's battle for consensus what's uh		
in the ethereum community how do people what are the sources of natural language		ethereum
based communication that have an emergent belief structure		
that you would say or is it all through money is it all		
through trading that the communication happens		
there's definitely talking as well um i mean like we have to agree on protocol		protocol
changes somehow right like there's twitter there's reddit		
there's um github there's uh all of the various ethereum forums		ethereum
ethereum magicians ethereum research there's just in-person communication		ethereum
then there's just kind of like the hidden web of everyone talking to		
everyone on telegram um or signal uh so it's like some of		
everything right but i think like the thing to		
emphasize around like can you actually come to consensus on		
you know whether or not to fork the chain because the attacker is		
censoring some everyone just for example is like		
you everyone who's running a node is going to see		
almost the same thing right like they're going to be off by a few seconds and		
like maybe they'll be off by a few they'll disagree by a few minutes but		
like if it's a serious attack you know people are gonna know right it's not		
like one of those things where you know oh		
it we're trying to agree on like i don't know did epstein kill himself or like		
some you know read the political facts for like in		
reality no one knows a single thing about what's actually going on and		
they're all speculating like it is much more visible right so we		
do have that but you know at the same time i'm happy		
to admit that like these are fairly untested mechanisms but		
like at the same time they're also untested mechanisms and proof of work		
right and like in proof of work it's even		
harder because in proof of work you don't have the ability to like identify		
and say like you know i'm going to these miners		
attacked and so we're not going to let these my um		
these miners in these miners do not attack so we're going to keep them in		
like you have to pretty much you know either take out none of the miners or		
you do a fork that changes the proof of work algorithm which takes out all of		
the miners right so the the economics of like recovering		
from attacks and proof of work at least to me		
actually do seem more unfavorable but you know i'm sure the proof of work		
people you talk to will give a very different and contradictory opinions and		
that's totally fine and amazing some people		
describe mev minor extractable value as an		
existential risk to ethereum what is mev how important is it to solve		ethereum
an mvv if it's important what ideas do you have		
sure how about after this one we'll also talk about sharding because that's		
amazing and it's part of the return back to sharding and		
which is no no return to the big picture of the scaling problem as you mentioned		
i love this conversation you know depth first search instead of brett first		
so uh basically okay ebbyv minor extractable value um it is not		
different in proof of work and proof of stake right so like if you want to call		
it you know block proposal extractable		
value like it sounds a lot sexy but you know we can call it bpef instead of math		
who cares um but so this is a problem in both		
proof of work and proof of stake yes so the basic idea is		
that if you have the ability to choose which transactions go into a block and		
in what order then you have the ability to like take		
advantage of that position for economic gain		
in a lot more ways than just collecting transaction fees right		
like for example there's decentralized exchanges on chain like uniswap		decentralized
and like let's say the price of eth versus usdc was 2700		
the previous block but then there was a bit of a market drop and now it's 26.80		
where you can go on unit swap and you can just like gobble up the entire part		
of um you know the automated order book		
that's like between 2700 and 26.80 right and that's		
and then at the same time you like run a bot and uh		
you know you buy some yeast back at 26.80 and you've just like made about 10		
dollars of profit right so or well 10 dollars times you know		
whatever the depth is right so and so there's lots of um little things like		
that there's also things um that involve like front running other people's		
transactions so one example of this would be		
that if someone sends a transaction that says		
buy me five eth for um whatever price that you can get um then		
but with a maximum of let's say yeah uh 15 000 then you can go		
and like you can send each put a transaction		
right in front of that transaction and you can like buy up that east first		
and then you resell it to him at you know fifteen thousand dollars minus one		
yeah so there's then you get to make a little bit of money though exactly so		
there's a lot of these different like arbitrage front running back running		
these different tricks that allow block proposers to to get		
some percentage on top like overhead exactly and the		
reason why this is um a challenge is because um		
it's like first of all it's some it sometimes degrades		
user experience because users get you know less favorable uh		
trades but there are sometimes ways to like mitigate that for applications		
sometimes it's not that bad but like the bigger risk that i think		
some people consider more existential is that there's just much more economies		
of scale in figuring out how to extract all this		
revenue i mean because if you're just collecting transaction fees		
there aren't really economies of scale there aren't really benefits to		
centralizing right because it's a very simple formula you just like grab up the		
transactions that pay you the most but with mev you know you ha there's all		
these sophisticated algorithms and if you have lots of money then you		
