film_title	plot_or_case_details
The Hound of the Baskervilles (1937 film)	For centuries, Baskerville Castle has been cursed. A spooky dog is up to mischief in the moor near the stately home. Night after night his bloodcurdling howl sounds and goes through marrow and leg. Lord Charles Baskerville is currently the latest victim of the ghostly beast: After a mysterious phone call, he left the property and is found dead on the moor. He succumbed to a heart attack from fear. Contrary to expectations, the darkling behind this mysterious activity has not yet achieved its goal. Because from a branch of the Baskervilles, a descendant, Lord Henry Baskerville, suddenly appears at the castle. He should now take possession. Also residing in the castle is a distant relative of the Barrymores, Lady Beryl Vendeleure, who originally intended to sell her land and moor to the old lord. The newcomer Henry quickly falls in love with her. In order not to let Henry Baskerville also become a victim of the ghost dog, executor Dr. Mortimer, family doctor and friend of old Lord Charles, asked the London master detective Sherlock Holmes for help. As a first measure, Holmes sends his faithful companion Dr. Watson to Baskerville Castle to keep a close eye on what was happening. Is the secretive house servant Barrymore behind the events, who returns light signals coming from the moor at night? Or is it possible that the convict who went into hiding on the moor, Barrymore's brother-in-law, is the mastermind? And what about the whimsical butterfly collector Stapleton, a self-confessed nature lover and explorer? Meanwhile, Holmes has long since appeared secretly in the area and is pursuing a lead of his own. Telephone calls are made between Castle Baskerville and an unknown party at night, and soon the situation for Henry Baskerville becomes more and more threatening. But he's preoccupied with his new flame, Beryl, and doesn't take the warnings too seriously. His careless behavior is almost fatal to Henry Baskerville. When cries for help are heard from the moor in the middle of the night, Henry runs there to rescue the woman of his heart who has just been kidnapped. There he is finally confronted with the dog and can only escape with difficulty. At the last moment, Holmes and Watson show up and take out the creepy animal with several gunshots. Stapleton, who is behind the attacks, is pursued by the detectives and flees into the depths of the moor, which swallows him up. Beryl Vendeleure, actually Stapleton's sister and bound by him, can be freed.
The Hound of the Baskervilles (1939 film)	In 1889, Sherlock Holmes and Dr. John H. Watson receive a visit from Dr. James Mortimer, who wishes to consult them before the arrival of Sir Henry Baskerville, the last of the Baskervilles, heir to the Baskerville estate in Devonshire. Dr Mortimer is anxious about letting Sir Henry go to Baskerville Hall, and talks about the events of the recent death of his best friend, Sir Charles Baskerville, Sir Henry's uncle. Although he was found dead in his garden from heart failure, Mortimer noticed the footprints of a gigantic hound. He tells the story of a supposed family curse, the legend of the Hound of the Baskervilles, a demonic dog that first killed Sir Hugo Baskerville several hundred years ago and is said to have caused the death of many Baskervilles in the region of Devonshire. Though Holmes dismisses the curse, he agrees to meet Sir Henry, who receives a message warning him to stay away from the moor. Holmes witnesses someone attempt to assassinate Sir Henry. Holmes asks Watson to go to Baskerville Hall along with Sir Henry, claiming that he is too busy to accompany them himself. The first night, Sir Henry and Watson discover Barryman, the butler, signaling from a window with a candle to someone on the moor. After unsuccessfully catching a man fleeing across the moor, Watson and Sir Henry are startled by hound like howls. The next day, Watson is suspicious of the neighbor Jack Stapleton, a local naturalist, while Sir Henry becomes attracted to Beryl Stapleton, the step-sister of Jack Stapleton. Watson and Sir Henry attend a seance held by Mrs. Mortimer. In a trance, she asks, "What happened that night on the moor, Sir Charles?". They are troubled by hound-like-howls. Watson meets a crippled peddler, limping on each of his legs, and receives a message to come see him. The peddler reveals himself to be Holmes, having been on the moor all the time making his own investigation. The hound kills a man on the moor whom Holmes and Watson fear is Sir Henry, but turns out to be the man Barryman was signaling to; Holmes explains that it was a convicted murderer, who escaped from Dartmoor Prison, and was Mrs Barryman's brother, who had given him Sir Henry's clothes. Stapleton kept a huge, half-starved, vicious dog trained to attack individual members of the Baskervilles after prolonged exposure to their scent. When the hound is finally sent to kill Sir Henry Baskerville, Holmes and Watson arrive to save him just in time, killing the hound. Stapleton traps Holmes down in the hound's underground kennel and sends Watson on an errand to meet Holmes. Holmes cuts his way out of the kennel and returns to the hall and destroys the poison that Stapleton had just given to Sir Henry as a medication for his wounds. Holmes surmises that Stapleton is a Baskerville, who hopes to claim their vast fortune himself after removing all other members of the bloodline. Stapleton pulls a gun and flees. Holmes says ominously to Watson, "He won't get very far. I've posted constables along the roads and the only other way is across the Grimpen Mire." Holmes is praised for his work on the case, and he turns in.
The Hound of the Baskervilles (1959 film)	Dr. Richard Mortimer recounts to Sherlock Holmes and Doctor Watson in Baker Street the legend of the Hell hound that killed the devilish Sir Hugo Baskerville for his murder of the daughter of a servant. He asks Holmes to investigate the death of his friend Sir Charles Baskerville, in Dartmoor, from heart failure, in the moor surrounding his estate, Baskerville Hall, with a look of horror on his face. Mortimer fears for the life of Sir Henry, Sir Charles' nephew and heir, who's just come from South Africa to take possession of his inheritance and of Baskerville Hall. Although skeptical, Holmes and Watson agree to meet Sir Henry who complains that one of his boots is missing. Mortimer tells them that the Baskerville estate is worth about £1,000,000. A peculiar threat from a dangerous tarantula convinces Holmes that Sir Henry's life is in danger. Claiming that he cannot come to Baskerville Hall himself, Holmes dispatches Watson to Dartmoor with Mortimer and Sir Henry. Holmes tells Sir Henry not to go out onto the moor after dark. On their way to Baskerville Hall, the trio learns that Selden, a convicted murderer, has escaped Dartmoor Prison and is hiding on the moor. At Baskerville Hall, Mr. Barrymore, the butler, and Mrs. Barrymore, the housekeeper show them around the mansion. One of two portraits of Sir Hugo is missing, and the Barrymores say it was mysteriously stolen months before. The next day, Sir Henry and Watson meet Bishop Frankland, a pastor and keen entomologist. Watson gets trapped in a patch of mire in the Grimpen Mire and is saved by a farmer named Stapleton and his daughter Cecile, a girl who bewitches Sir Henry. That night, Watson and Sir Henry investigate a light on the moor. They briefly encounter a strange man who flees in the shadows, and a distant hound howls, provoking in Sir Henry a mild heart attack. Watson spots a man on a hill in the distance while helping Sir Henry back to Baskerville Hall. Watson discovers it to be Holmes, who has concealed his own arrival to investigate more freely. Selden, wearing Sir Henry's clothes, is slaughtered by the unseen hound. Holmes and Watson find his body mutilated in a ritual and the legendary curved dagger of Sir Hugo. The Barrymores confess to have helped Selden, who was their relative, by supplying food and clothes each time he signaled with a light from his hideout. Holmes is convinced that neither the Barrymores nor Selden are connected to the death of Sir Charles. He also figures that the tarantula found in London was stolen from Bishop Frankland. After surviving personal danger in an abandoned tin mine while looking for evidence of a hound, Holmes is able to deduce who unleashed the hound in pursuit of Sir Charles. Holmes explains about questioning Barrymore about the missing portrait; it was stolen because it revealed the fingers on Sir Hugo's right hand were webbed just like Stapleton's. Finding the dagger stolen, Holmes and Watson follow Sir Henry and Cecile to the moor. Cecile takes Sir Henry to the ruins where Holmes and Watson hear Cecile reveal her intentions to a horrified Sir Henry, revealing that she and her father are also descendants of Sir Hugo, planning to claim the inheritance as their own once Sir Henry is dead. The hound appears and attacks Sir Henry, until Holmes shoots it, causing it to back off. With Sir Hugo's curved dagger, Stapleton attempts to attack Watson, who shoots and wounds him. The wounded hound attacks Stapleton and fatally mauls him. Holmes shoots and kills the hound. Sir Henry is unscathed from the mauling as Holmes reveals the hound to be an ordinary dog wearing a mask to make it look more terrifying. Cecile tries to flee across the moor, only to fall into the Grimpen Mire and sink to her death as Holmes and Watson take a shocked Sir Henry back to Baskerville Hall. Back in Baker Street, Holmes and Watson are given by Sir Henry the stolen portrait of Sir Hugo that was found on the Stapleton farm.
The Hound of the Baskervilles (1983 film)	Sherlock Holmes is given news of the late Sir Charles' death, and the legend of the hound which is said to have killed the evil Sir Hugo Baskerville in retaliation for his brutal and violent rape of a beautiful farm girl. Holmes prepares to save Sir Charles.
The Hound of the Baskervilles (2002 film)	Sherlock Holmes and his companion Dr. Watson investigate the case of the legend of a fearsome, diabolical hound of supernatural origin on Dartmoor in Devon in England's West Country.
Incident at Victoria Falls	In the film, Holmes is about to retire to Sussex and keep bees when King Edward (Joss Ackland) sends him on a mission to South Africa to retrieve the Star of Africa diamond.[1] Complications arise and Holmes meets several historical people including ex-President Theodore Roosevelt (Claude Akins),[2] and Lillie Langtry (Jenny Seagrove).[3] He also encounters the fictional character A. J. Raffles.[4]
Jighansa	The movie revolves around the unwanted incidents that happen in the princely state of Ratnagarh. After the murder of the king Chandrakanta, Dr. Palit asks for help from Detective Smarajit Sen, a family friend. Detective Sen sends his assistant Bimal to Ratnagarh to investigate and ascertain the security of young Kumar Bahadur, the new predecessor of the royal family of the estate. They observe that a mysterious lady, Manjusri, sings uncanny song in the adjacent water body near the palace. Mr. Gupta, a suspicious botanist, stays in the neighbourhood also roamed in that locality. It is revealed that he was deprived of real property of the royal family and took revenge by killing the members of the family. He uses a deaf and dumb porter as a hired killer. Ultimately, he is killed by the detective at the end before he could commit another murder.
The Longing of Sherlock Holmes	Desiring a change of pace, Sherlock Holmes decides for once to play criminal instead of crime-fighter. His attempt is eventually foiled by Watson.
The Man Who Was Sherlock Holmes	Detective Morris Flynn (Hans Albers) and his assistant Macky McMacpherson (Heinz Rühmann), masquerading as Sherlock Holmes and Dr Watson, investigate two attractive sisters, Mary and Jane Berry, and the theft and forgery of valuable postage stamps.
The Masks of Death	In 1913, Sherlock Holmes, virtually in retirement, is persuaded by Inspector Alec MacDonald of Scotland Yard to take on a baffling case. Three dead bodies have been found in London's East End, all with no discernible cause of death, but the expressions on their faces suggest that they all died in a state of terror. Holmes, accompanied by Dr Watson, begins an investigation, but before he can make any real progress he is visited by the British Home Secretary and a German Diplomat, Count Udo von Felseck, who tell Holmes that a German envoy, on a secret mission to Britain, has disappeared from Felseck's house in Buckinghamshire.  Unless Holmes can track him down, war between the two countries will become imminent. Holmes considers the possibility that the two matters are related and that someone is not telling him the truth.
The Missing Rembrandt	Sherlock Holmes goes on the trail of a Rembrandt painting, stolen by a drug-addicted artist.
Mr. Holmes	In 1947, the long-retired Sherlock Holmes, aged 93, lives in a rural Sussex farmhouse with his widowed housekeeper Mrs Munro and her young son Roger. Having just returned from a trip to Hiroshima, Holmes starts to use a prickly ash plant he acquired there to try to improve his failing memory. Unhappy about Watson's fictionalisation of his last case, The Adventure of the Dove Grey Glove, he hopes to write his own account, but has trouble recalling the events. As Holmes spends time with Roger, showing him how to take care of the bees in the farmhouse's apiary, he comes to appreciate Roger's curiosity and intelligence and develops a paternal liking for him. Over time, Roger's prodding helps Holmes remember the case (shown in flashbacks); he knows he must have failed somehow, as it resulted in his retirement from the detective business. Almost 30 years earlier, after the First World War had ended and Watson had married and left Baker Street, Thomas Kelmot approached Holmes to find out why his wife Ann had become estranged from him after suffering two miscarriages. Holmes followed Ann around London and observed her seemingly preparing to murder her husband – forging cheques in her husband's name and cashing them, confirming the details of his will, buying poison, paying a man, and checking train schedules. Holmes, however, deduced her true intentions: to have gravestones made for her and her miscarried children (the man she paid was a stonemason) and then kill herself. Confronting her, Holmes confessed he had the same feelings of loneliness and isolation, but his intellectual pursuits sufficed for him. Ann asked Holmes if they could share the burden of their loneliness together. Holmes was tempted, but instead advised her to return to her husband. She poured the poison on the ground, thanked Holmes, and departed. Holmes later learned that Ann succeeded in killing herself by stepping in front of an oncoming train. Blaming himself, he retired and fell into a deep depression. Watson briefly returns to care for him and, discovering the details of the case, rewrites the tragedy into a success. A second series of flashbacks recounts Holmes' recent trip to Japan, where he met a supposed admirer named Tamiki Umezaki who had told him of the benefits of prickly ash. In fact, Umezaki brought Holmes to Japan in order to confront him. Years before, Umezaki's father had gone to England on business and never returned; he had sent a letter explaining that Holmes had persuaded him to remain there and forget his family in Japan. To Umezaki's disappointment, Holmes told him bluntly that his father probably just wanted a new life for himself and that he had never met the man. In the present, Mrs Munro grows discontented with her work as Holmes becomes infirm and burdensome to look after. His closeness to her son Roger is another source of tension, as the boy is becoming dissatisfied with his family's lowly status and increasingly distant from his barely literate mother. Mrs. Munro accepts a job at a hotel in Portsmouth, and plans to take Roger to work there as well. Roger is unenthused by the prospect of hotel drudgery and unwilling to leave Holmes, and says as much to his mother. Later, Holmes discovers Roger lying unconscious in the garden, covered in insect stings. As the boy is rushed to hospital, Mrs Munro accuses Holmes of caring for nothing but himself and his bees, and prepares to burn the apiary. Holmes stops her, having realised that the culprits are actually wasps; Roger had found a nearby nest and tried to flood it in order to protect the apiary, but the wasps swarmed on him instead. Holmes and Mrs. Munro burn the nest together, then return to the hospital as Roger regains consciousness. As they sit in the waiting room, Holmes tells Mrs. Munro that he was too fearful and selfish to open himself up to Ann Kelmot and to give her the comfort that she needed. He wants her and Roger to stay in his life, and tells her that they will inherit his estate after his death. Back home, Holmes writes his first work of fiction: a letter to Umezaki, telling him that his father was a brave, honourable man who worked secretly and effectively for the British Empire. As Roger begins to teach his mother how to care for the bees, Holmes emulates a tradition he saw practised in Hiroshima: creating a ring of stones to serve as a place where he can recall the loved ones he has lost over the years.
Murder by Decree	After the Metropolitan Police fail to apprehend the serial killer Jack the Ripper, Sherlock Holmes is approached to investigate the recent murders of prostitutes in the Whitechapel district of London. Helped by Dr. Watson and the medium Robert Lees, Holmes discovers that all the victims were companions of Annie Crook, a woman locked in a mental institution. Members of the police hierarchy and several politicians, all Freemasons, seem to be protecting one of their own. Furthermore, Inspector Foxborough, the policeman who is in charge of the case, is in fact the secret leader of the radicals, a political movement waiting for the British government to fall because of its inability to solve the Whitechapel murders. Holmes must rely on his skills to find and confront the murderer.
