category	details
His personality	Watson often refers to his restlessness and his impatience, his nervousness and excitement, his natural curiousity and eager, his habit of biting his nails when he is concerned, and the importance he carried in his pride, reputation, self-respect and somehow selfishness.
His personality	He couldn't agree with those who rank modesty among the virtues. To the logician, all things should be seen exactly as they are, and to underestimate oneself is as much a departure from truth as to exaggerate one's own powers. What you do in this world is a matter of no consequence. The question is, what can you make people believe that you have done?
His personality	He was egotistical and with didactic manners. He was as sensitive to flattery on the score of his art as any girl could be of her beauty. His most obvious weakness was that he was impatient with less alert intelligences than his own. He could be openly contemptuous of his mental inferiors and those of whom he disapproved. His behaviour was most often particularly annoying to Watson.
His personality	He loved admiration and applause. The same singularly proud and reserved nature which turned away with disdain from popular notoriety was capable of being moved to its depth by spontaneous wonder and praise from a friend. He found it wise to impress clients with a sense of power.
His personality	"Some touch of the artist wells up within me and calls insistently for a well-staged performance. The blunt accusation, the brutal tap upon the shoulder - what can one make of such a denouement? But the quick inference, the subtle trap, the clever forecast of coming events, the triumphant vindication of bold theories - are these not the pride and the justification of our life's work?". He never can resist a touch of the dramatic.
His personality	Sometimes he tended to his own righteousness and settled a private vengeance. He admitted that once or twice in his career he felt he had done more harm by his discovery of the criminal than he had made himself, for his crime. He forgave other personal vendettas and admitted he felt directly responsible for the death of Dr. Roylott. He did not hesitate to use illegal methods in amorally justifiable cause and he often thought he could be a very effective criminal if he used his talents against the law, which inspector Gregson admitted it was a luck that Holmes was on the side of the Force, and not against it.
His personality	Like all great artists, Holmes was easily impressed by his surroundings. He was a believer in the genius loci. Holmes alone could rise superior to petty influences and he had in a very remarkable degree, the power of detaching his mind at will.
His personality	He took little care for his own safety when his mind was absorbed by a problem, but he thought as stupidity rather than courage to refuse to recognise danger when it is close upon him. And as he loved above all things precision and concentration of thought, he resented anything which distracted his attention. He would never permit cases to overlap, and his clear and logical mind would not be drawn from its present work to dwell upon memories of the past.
His personality	As professionally, he stood alone in Europe, both in his gifts and in his experience. He didn't like commonplace cases, for, working as he did rather for the love of his art than for the acquirement of wealth, he refused to associate himself with any investigation which did not tend towards the unusual and even the fantastic. Holmes, however, like all great artists, lived for his art's sake. He has seldom claimed any large reward for his inestimable services. So unworldly was he - or so capricious - that he frequently refused his help to the powerful and wealthy where the problem made no appeal to his sympathies, while he would devote weeks of most intense application to the affairs of some humble client whose case presented those strange and dramatic qualities which appealed to his imagination and challenged his ingenuity.
His personality	Without having a tinge of cruelty in his singular composition, Holmes was undoubtedly callous from long over-stimulation. He described himself as never a very sociable fellow. He does not encourage visitors. He had an aversion to women, and a disinclination to form new friendships. He was surrounded by loneliness and isolation. Seclusion and solitude were very necessary for Sherlock Holmes in those hours of intense mental concentration during which he weighed every particle of evidence.
His personality	But he had some friends.
His personality	Algar, Holmes' friend, is a member of the Liverpool Force.
His personality	Barker, Holmes' friend, is a London private detective.
His personality	Wilson Hargreave, Holmes' friend, is a member of the New York Police Bureau.
His personality	Mr. Sherman, Holmes' friend, is a bird-stuffer who called Holmes by his Christian name.
His personality	Harold Stackhurst, Holmes' friend, is an educator in Sussex during Holmes' retirement.
His personality	Verner, Holmes' friend, is a distant relation.
His personality	He had an old carelessness of manner, and a half-humorous, half-cynical vein which was his habitual attitude to those about him, but harshness was foreign to his nature. Some clients have even referred to his kindness. He could be particularly bright and joyous, with that somewhat sinister cheerfulness which was characteristic of his lighter moments and with the peculiarly mischievous gaze which was characteristic of his more imp-like moods. He was remarkable for his easy courtesy. Sherlock Holmes was a past master in the art of putting a humble witness at his ease. He had an almost hypnotic power of soothing when he wished.
His personality	He was a man of habits, narrow and concentrated habits.
His personality	Holmes was certainly not a difficult man to live with. He was quiet in his ways, and his habits were regular. It was rare for him to be up after ten at night, and he had invariably breakfasted and gone out before Watson rose in the morning. Sometimes he spent his day at the chemical laboratory, sometimes in the dissecting rooms, and occasionally in long walks, which appeared to take him into the lowest portions of the city. Nothing could exceed his energy when the working fit was upon him; but now and again a reaction would seize him, and for days on end he would lie on the sofa in the sitting room, hardly uttering a word or moving a muscle from morning to night.
His personality	However, his incredible untidiness, his addiction to music at strange hours, his occasional revolver practice within doors, his weird and often malodorous scientific experiments, and the atmosphere of violence and danger which hung around him made him the very worst tenant in London. He was in his personal habits one of the most untidy men that ever drove a fellow lodger to distraction. He had a horror of destroying documents, especially those which were connected with his past cases. He kept his cigars in the coal scuttle, his tobacco in the toe end of a Persian slipper, and his unanswered correspondence transfixed by a jack-knife into the very centre of his wooden mantelpiece. Thus, without his scrap-books, his chemicals, and his homely untidiness, he was an uncomfortable man.
His personality	He had bohemian habits. He loathed every form of society with his whole bohemian soul, remained in Baker Street, buried among his old books, and alternating from week to week between cocaine and ambition, the drowsiness of the drug, and the fierce energy of his own keen nature
His personality	Once retired in Sussex, he had given himself up entirely to that soothing life of Nature for which he had so often yearned during the long years spent amid the gloom of London.
His personality	All emotions, and that one particularly, were abhorrent to his cold, precise, but admirably balanced mind. He was, I take it, the most perfect reasoning and observing machine that the world has seen: but, as a lover, he would have placed himself in a false position. He thought that love is an emotional thing, and whatever is emotional is opposed to his true, cold reason which he placed above all things. He should never marry himself, lest it bias his judgment. He could examine a client with as little sentiment as a scientist would show to a specimen. He had sometimes a saturnine figure. His manner was not effusive. It seldom was. If his emotions were dulled from long over-stimulation, his intellectual perceptions were exceedingly active.
His personality	He said that "the emotional qualities are antagonistic to clear reasoning". "I use my head, not my heart."
His personality	He said also that life is full of whimsical happenings, and despite the assertion that he rarely laughed, he laughed, smiled and joked incessantly, though his ideas of humour were called "strange and occasionally offensive", and even perverted, and were often manifested in wry irony or outright sarcasm.
His personality	His aversion to women, and his disinclination to form new friendships, were both typical of his unemotional character.
Convictions	Why does Fate play such tricks with poor helpless worms?
Convictions	The ways of Fate are indeed hard to understand. If there is not some compensation hereafter, then the world is a cruel jest.
Convictions	Is not all life pathetic and futile? We reach. We grasp. And what is left in our hands at the end? A shadow. Or worse than a shadow - misery.
Convictions	What is the meaning of it, Watson? What object is served by this circle of misery and violence and fear? It must tend to some end, or else our universe is ruled by chance, which is unthinkable. But what end? There is the great standing perennial problem to which human reason is as far from an answer as ever.
Convictions	Holmes agreed with anti-Christian ideas of Winwood Reade when he recommend to read the Martyrdom of Man.
Convictions	He agreed with Richter quoting the writer: the chief proof of man's real greatness lies in his perception of his own smallness.
Convictions	He refused to believe in the supernatural.
Convictions	He read and quoted Darwin.
Convictions	He said: There is nothing in which deduction is so necessary as in religion. It can be built up as an exact science by the reasoner.
Convictions	He confessed his Biblical knowledge to be a trifle rusty.
Motivation	Holmes thought that detection should be an exact science and should be treated in a cold and unemotional manner.
Motivation	To his somber and cynical spirit all popular applause was always abhorrent, and nothing amused him more at the end of a successful case than to hand over the actual exposure to some orthodox official, and to listen with a mocking smile to the general chorus of misplaced congratulation. So unworldly was he - or so capricious - that he frequently refused his help to the powerful and wealthy where the problem made no appeal to his sympathies, while he would devote weeks of most intense application to the affairs of some humble client whose case presented those strange and dramatic qualities which appealed to his imagination and challenged his ingenuity.
Motivation	Despite his disdain for notoriety, he gained considerable fame through Watson's writings, which benefited Watson's fame as well.
Motivation	He demonstrated himself to be a keen judge of human character. He displayed a propensity to categorize persons, but not to underestimate his foes, and showed a tendency to inflate their abilities, claiming to appreciate the challenge of a good foeman. He told that nothing was more stimulating than a case where everything goes against him.
Motivation	As professionally, he stood alone in Europe, both in his gifts and in his experience. He didn't like commonplace cases, for, working as he did rather for the love of his art than for the acquirement of wealth, he refused to associate himself with any investigation which did not tend towards the unusual and even the fantastic. Holmes, however, like all great artists, lived for his art's sake. He has seldom claimed any large reward for his inestimable services. So unworldly was he - or so capricious - that he frequently refused his help to the powerful and wealthy where the problem made no appeal to his sympathies, while he would devote weeks of most intense application to the affairs of some humble client whose case presented those strange and dramatic qualities which appealed to his imagination and challenged his ingenuity.
Motivation	Holmes had a dual nature. Nothing could exceed his energy when the working fit was upon him; but now and again a reaction would seize him, and for days on end he would lie upon the sofa in the sitting room, hardly uttering a word or moving a muscle from morning to night. He never fell tired by work, though idleness exhausted him completely. Alternating from week to week between cocaine and ambition, the drowsiness of the drug, and the fierce energy of his own keen nature. He could be bright, eager, and in excellent spirits, a mood which in his case alternated with fits of the blackest depression.
Motivation	His powers became irksome to him when they were not in use. He said: «My mind rebels at stagnation. Give me problems, give me work, give me the most abstruse cryptogram, or the most intricate analysis, and I am in my own proper atmosphere. I can dispense then with artificial stimulants. But I abhor the dull routine of existence. I crave for mental exaltation.» His mind was like a racing engine, tearing itself to pieces because it was not connected up with the work for which it was built.
Motivation	His life was spent in one long effort to escape from the commonplaces of existence.
Motivation	He mentioned Gustave Flaubert: "L'homme c'est rien, l'oeuvre c'est tout." (The man is nothing, the work is everything). He thought that work was the best antidote to sorrow. He worked rather for the love of his art than for the acquirement of wealth.
Methods	Sherlock Holmes said the 3 qualities necessary to the ideal detective are: (1) Observation; (2) Deduction; and (3) Knowledge.
Methods	Holmes had 3 rules for observation: (1) It is of the first importance not to allow your judgment to be biased by personal qualities; (2) It is difficult for a man to have any object in daily use without leaving the impress of his individuality upon it; and (3) How ever did you see that? Because I looked for it.
Methods	Holmes wrote about the science of deduction in the article "The Book of Life" and he was willing to devote his declining years to the composition of a textbook which shall focus the whole art of detection into one volume.
Methods	Holmes said it is a capital mistake to theorize before you have all the evidence. Insensibly one begins to twist facts to suit theories, instead of theories to suit facts". Holmes never guessed. He thought it was a shocking habit — destructive to the logical faculty". He never made exceptions as the exception disproves the rule. He said a hypothesis must cover all the facts. If several explanations presented themselves, he tried test after test until one or other of them had a convincing amount of support. He said it was necessary to find that line of least resistance which should be the starting point of every investigation. He warned that it's a bad habit to form provisional theories and wait for time or fuller knowledge to explode them. He told the first rule of criminal investigation: "One should always look for a possible alternative and provide against it". When a fact appeared to be opposed to a long train of deductions, it invariably proves to be capable of hearing some other interpretation.
Methods	Holmes had an old maxim: "When you have eliminated the impossible, whatever remains, however improbable, must be the truth." However, he recognized the value of imagination and intuition. And he could put himself in the place of one whose motives or actions he wished to trace.
Methods	Holmes said that: "Circumstantial evidence is a very tricky thing, it may seem to point very straight to one thing, but if you shift your own point of view a little, you may find it pointing in an equally uncompromising manner to something entirely different; but circumstantial evidence is occasionally very convincing, as when you find a trout in the milk, to quote Thoreau's example."
Methods	Seclusion and solitude were very necessary for Sherlock Holmes in those hours of intense mental concentration during which he weighed every particle of evidence, constructed alternative theories, balanced one against the other, and made up his mind as to which points were essential and which immaterial.
Methods	Holmes said that breadth of view is one of the essentials of the detective profession, and the interplay of ideas and the oblique uses of knowledge are often of extraordinary interest. For him, all knowledge becomes useful to the detective. His studies were very desultory and eccentric, but he had amassed a lot of out-of-the-way knowledge which would have astonished his professors. He was an omnivorous reader with a strangely retentive memory for trifles. He had a passion for definite and exact knowledge.
Methods	He thought that the ideal reasoner would, when he has once been shown a single fact in all its bearings, deduce from it not only all the chain of events which led up to it, but also all the results which would follow from it. And that it was not so impossible that a man to possess all knowledge which is likely to be useful to him in his work, and this he endeavoured to do. He hold a vast store of out-of-the-way knowledge, without scientific system, but very available for the needs of his work. His mind was like a crowded boxroom with packets of all sorts stowed away therein - so many that he might well have but a vague perception of what was there. It was one of the peculiarities of his proud, self-contained nature that, though he docketed any fresh information very quickly and accurately in his brain, he seldom made any acknowledgement to the giver. He said that a man should keep his little brain attic stocked with all the furniture that he is likely to use, and the rest he can put away in the lumber room of his library, where he can get it if he wants it.
Methods	Holmes told Inspector MacDonald that the most practical thing he could do in his life would be to shut himself up for three months and read twelve hours a day at the annals of crime. Holmes was the one who knows the higher criminal world of London so well as he do, and he thought it was his business to follow the details of Continental crime.
Disguises	Holmes would have made an actor and a rare one. His expression, his manner, his very soul seemed to vary with every fresh part that he assumed. The stage lost a fine actor, even as science lost an acute reasoner when he became a specialist in crime. He had the thoroughness of the true artist.
Disguises	He had at least five small refuges in different parts of London in which he was able to change his personality.
Disguises	Holmes thought it is the first quality of a criminal investigator that he should see through a disguise but he failed to recognise Jefferson Hope disguised as Mrs. Sawyer or Hugh Boone whom he said he had observed often in the streets of The City.
Disguises	Here is the list of disguises used by Sherlock Holmes: (1) A sailor; (2) An asthmatic old master mariner; (3) A drunken-looking groom; (4) An amiable and simple-minded Nonconformist clergyman; (5) A doddering opium smoker; (6) A common loafer; (7) A venerable Italian priest; (8) An elderly book-collector; (9) An East End familiar known as Captain Basil; (10) A plumber with a rising business named Escott; (11) An unshaven French ouvrier; (12) A workman looking for a job; (13) An old sporting man; (14) An elderly woman; and (15) An Irish-American spy named Altamont.
Income	Holmes worked rather for the love of his art than for the acquirement of wealth. Like all great artists, he lived for his art's sake, and, save in the case of the Duke of Holdernesse, he seldom claimed any large reward for his inestimable services.
Income	His professional charges were upon a fixed scale, and he did not vary them, save when he remitted them altogether. He told to his client, Helen Stoner, his profession was his reward; but she was at liberty to defray whatever expenses she may be put to, at the time which suits her best.
Income	He was sometimes rewarded well. In some cases, he received: (1) £1,000 for the return of the Beryl Coronet; (2) £1,000 for the return of the Blue Carbuncle; (3) £300 in gold, and £700 in notes from the King of Bohemia, and the King gave him a snuff-box of old gold, with a great amethyst in the centre of the lid; (4) £12,000 from the Duke of Holdernesse; (5) The house of Scandinavia and the French Republic have left him in such a position that he could continue to live in the quiet fashion which is most congenial to him; (6) The Lady Frances Carfax family told Holmes that no sum will be spared if he can clear the matter up; (7) The reigning family of Holland rewarded him with a remarkable brilliant ring; and (8) Holmes spent a day at Windsor, whence he returned with a remarkably fine emerald tie-pin.
Failures	Blunders were a more common occurrence than anyone would think who only knew him through Watson's memoirs.
Failures	In 1887, Holmes confessed he had been beaten four times: three times by men and once by a woman.
Failures	During the long period of continuous work, some cases have baffled Holmes' analytical skill, a few unavoidable failures and some were complete failures, and as such will hardly bear narrating, since no final explanation is forthcoming. However, Watson published two cases where Holmes failed: (1) A Scandal in Bohemia; and (2) The Adventure of the Yellow Face.
Failures	He was likely to fall into error through the over-refinement of his logic - his preference for a subtle and bizarre explanation when a plainer and more commonplace one lay ready to his hand.
Failures	It seemed a certainty when first it flashed across my mind in the cell at Winchester, but one drawback of an active mind is that one can always conceive alternative explanations which would make our scent a false one. When a man has special knowledge and special powers like Holmes it rather encourages him to seek a complex explanation when a simpler one is at hand.
Relationship with Police	He often left credit to the police in his cases: (1) Jones gets the credit there still remains the cocaine bottle; (2) Lestrade To you, and to you only, belongs the credit of the remarkable arrest which you have effected; (3) 'Out of my last fifty-three cases my name has only appeared in four, and the police have had all the credit in forty-nine; (4) Twice already in his career had Holmes helped him to attain success, his own sole reward being the intellectual joy of the problem; and (5) I assure you that I efface myself from now onwards.
Relationship with Police	But he also chafed the police to avoid recognition. He often acted independently as, in his opinion, local aid was always either worthless or else biased. When he went into a case, it was to help the ends of justice and the work of the police. If ever he had separated himself from the official force, it is because they have first separated themselves from me. He had no wish ever to score at their expense. He liked to tease the official detectives by giving them clues while neglecting to explain their meaning. Though he was hard with others, he didn't spare himself. He blamed himself when he was too slow to solve the problem.
Before his detective activity	On his childhood and adolescence, we don't know anything. Except that in his two years at college, he realized that a profession might be made out of what had up to that time been the merest hobby. The father of a classmate told the young Holmes that all the detectives of fact and of fancy would be children in his hands and that's it was his line of life. Then now and again cases came in his way, principally through the introduction of old fellow students, for during his last years at the university there was a good deal of talk there about him and his methods. The third of these cases was that of the Musgrave Ritual. His career started at that time.
His detective activity	He began his detective activity around 1878 and his partnership with Watson around 1882. His practice began slowly, but by 1889 he claimed to have investigated five hundred cases of capital importance. And over a thousand cases by 1891. From late 1880s to April 1891, he devoted his time to fight the Moriarty's criminal organization. Early in 1891, Holmes and Moriarty fought at the Reichenbach Falls in Switzerland. Moriarty died there and Holmes chose to disappear and make people think he was dead. He returned to active practice in 1894. Between 1894 and 1901 he handled hundreds of private cases, some of them of the most intricate and extraordinary character, in which he played a prominent part.
After his detective activity	He retired late 1903 or early 1904 after being in active practice for twenty-three years. He chose to retire alone in a farm upon the South Downs, Sussex where he betook himself to study and bee-farming. Just before the First World War was his last known case with the arrestation of the Prussian spy Von Bork.
His Eating Habits	When he worked, he could stop eating. He told to Watson that: « The faculties become refined when you starve them. What your digestion gains in the way of blood supply is so much lost to the brain. I am a brain. The rest of me is a mere appendix. Therefore, it is the brain I must consider.»
His Health Problems	In the spring of the year 1897, Holmes's iron constitution showed some symptoms of giving way in the face of constant hard work of a most exacting kind, aggravated, perhaps, by occasional indiscretions of his own.
His Health Problems	During his retirement, he was crippled by occasional attacks of rheumatism.
His Relation with Women	Holmes thought that love is an emotional thing, and whatever is emotional is opposed to his true, cold reason which he placed above all things. He should never marry himself, lest it bias his judgment.
His Relation with Women	He had an aversion to women. He said: «Women are never to be entirely trusted - not the best of them». However, Holmes had, when he liked, a peculiarly ingratiating way with women, and that he very readily established terms of confidence with them.
His Relation with Women	He thought that the woman's heart and mind were insoluble puzzles to the male. He said their most trivial action could mean volumes, or their most extraordinary conduct could depend upon a hairpin or a curling-tongs. He has seen too much not to know that the impression of a woman may be more valuable than the conclusion of an analytical reasoner. He valued a woman's instinct.
His Relation with Women	But Holmes manifested no further interest in Miss Violet Hunter when once she had ceased to be the centre of one of his problems. He could use his seduction talents to woo, for example, Milverton's housemaid Agatha which he engaged to her to collect data on Milverton.
His Relation with Women	Despite the fact that Holmes admired Irene Adler, the only woman who have beaten the detective in 1888... Holmes admitted in 1897 that he never loved.
Interests	He was interested in: (1) Arts; (2) Music; (3) Chemistry; (4) Middle-Age: Miracle Plays 15th-century palimpsest Early English Charters Medieval pottery Lassus music; (5) Miracle Plays; (6) 15th-century palimpsest; (7) Early English Charters; (8) Medieval pottery; (9) Lassus music; (10) Blackletter editions; (11) Stradivarius violins; (12) Buddhism of Ceylon; (13) Warships of the future; (14) Chaldean roots; and (15) Bees.
Music	He was an enthusiastic musician, being a very capable performer, but also a composer of no ordinary merit. All the afternoon he sat in the stalls wrapped in the most perfect happiness, gently waving his long thin fingers in time to the music, while his gently smiling face and his languid, dreamy eyes were as unlike those of Holmes the sleuth-hound, Holmes the relentless, keen-witted, ready-handed criminal agent, as it was possible to conceive. He could talk about nothing but violins, narrating with great exultation how he had purchased his own Stradivarius, which was worth at least five hundred guineas, at a Jew broker's in Tottenham Court Road for fifty-five shillings and played well. The violin was his favourite occupation. His violin style was eccentric as all his other accomplishments. The violin was an institution for Holmes.
Music	Watson about Holmes playing violin: "I see that I have alluded above to his powers upon the violin. These were very remarkable, but as eccentric as all his other accomplishments. That he could play pieces and difficult pieces, I knew well, because at my request he has played me some of Mendelssohn's Lieder, and other favourites. When left to himself, however, he would seldom produce any music or attempt any recognized air. Leaning back in his arm-chair of an evening, he would close his eyes and scrape carelessly at the fiddle which was thrown across his knee. Sometimes the chords were sonorous and melancholy. Occasionally they were fantastic and cheerful. Clearly they reflected the thoughts which possessed him, but whether the music aided those thoughts, or whether the playing was simply the result of a whim or fancy, was more than I could determine. I might have rebelled against these exasperating solos had it not been that he usually terminated them by playing in quick succession a whole series of my favourite airs as a slight compensation for the trial upon my patience."
Music	He was a concert lover.
Music	He was interested in the following artists: (1) Norman-Neruda; (2) Charles Hallé; (3) Chopin; (4) Paganini; (5) Sarasate; (6) Charlie Peace; (7) Lassus; (8) De Reszkes; (9) Meyerbeer: "Les Huguenots"; and (10) Wagner.
Music	About Norman Neruda, he told that her attack and her bowing were splendid. "What's that little thing of Chopin's she plays so magnificently: Tra-la-la-lira-lira-lay."
Music	German music was more to his taste than Italian or French, as it was introspective for him. Holmes wrote a monograph upon the polyphonic motets of Lassus which was printed for private circulation and was said by some experts to be the last word on the subject.
Music	He had an addiction to music at strange hours. In periods of lethargy, he would lie about with his violin hardly moving from the sofa.
