text	sentiment
"Zeno summons Goku to his palace, where they meetGrand Minister. Zeno declares that he wants to be Goku's friend and gives him abuttonthat will summon him if needed. Using another time machine, Goku, Vegeta and Future Trunks head into the future and are shocked to see Black with another counterpart ofZamasu. They get defeated and head back to the past. Zamasu's beliefs of mortal extinction is strengthened after he sees more barbaric violence initiated by the mortals in the far future and later the Destroyer's Tournament, which makes him infuriated at the irresponsibility of the other gods, who he believes is not taking their job seriously. He confrontsZunoand forces him to tell him everything about the Super Dragon Balls and Goku.Shininforms of this event to the Z Fighters. Beerus, Goku, Whis & Supreme Kai head to Universe 10 where they witness Zamasu assassinating Gowasu in order to steal the Time Ring. Whis uses hisTemporal Do-Overto undo the effect, and Beerus destroys Zamasu. Goku, Vegeta & Future Trunks head back to the future where they see that Goku Black and Zamasu are still present. Black reveals that he is indeed Zamasu. Before Future Trunks created a new timeline by going to the past, in the original timeline, Zamasu still met Goku, assassinated Gowasu, stole his Time Ring, and used the Super Dragon Balls to swap bodies with Goku whose power he lusts over and later kills him and his family. Realizing his own timeline is doomed beyond repair, he uses the Ring to travel to the timeline of Future Trunks and seeks a new ally, this timeline's version of Zamasu. They wreak havoc on multiple planets and universes, killing all gods, and reach to Earth as their final act of genocide, after every other part of the cosmos are wiped out, continuing their Zero Mortals Plan. Also, it is revealed that Future Zamasu used the now-destroyed Super Dragon Balls of their timeline to attain immortality."	0.022482175
"Trunks attains a powerfultransformation, while a beaten Goku and Vegeta return to the past. Goku learns theEvil Containment Waveso that he can seal Zamasu away while Vegeta trains in the Hyperbolic Time Chamber. They return to the future and later, Gowasu and Supreme Kai joins in to stop the evil acts. After Future Zamasu is driven to a corner, Goku Black decides to utilize their contingency plan, and they fuse to becomeFused Zamasu. Goku and Vegeta use Supreme Kai'sPotaraearrings to fuse and becomeVegito, and a ferocious battle ensues. However, because of the time limit and physical constraints caused by the Potara Fusion, Goku and Vegeta defuse."	-0.202380952
"Future Trunks steps in as Zamasu is being overwhelmed by the imbalance of his spiritual and physical state and uses the energy of Goku, Vegeta and all the living beings in the planet, to slice Zamasu up, he is forced to cast off his physical body. He transcends his physical vessel andhis essence and will becomes one with the very cosmos itself. Goku uses Zeno's button which summonsFuture Zeno, who erases the timeline out of annoyance. The surviving fighters escape to the past. Future Trunks and Goku return to the timeline back again, and they take Future Zeno to the main timeline's Zeno, and they become playmates. A traumatized and devastated Future Trunks and Future Mai decide to live in the new alternate timeline that Whis created after he went to warn Future Beerus about Zamasu and they bid a heartful final farewell to the Z Fighters after they are unable to save their own world."	0.009018759
"After that event, minor events revolve around some of the characters. Some time later, at Goku's request, the two Zeno's decide to organize a tournament including all twelve universes, called theTournament of Power, which will take place in theNull Realm. In theZeno Expo, Great Priest reveals that this tournament is not only made for recreational purposes, in fact, the Zeno's were planning to get rid of the weaker universes all along and this tournament will also serve as a judging basis for them to do so, with the four universes that were at the top of Zeno's mortal level scale, being spared automatically."	0.25
"However, before the actual Tournament begins, Future Zeno wishes to see an exhibition match to experience the thrill beforehand. The Grand Priest accedes and a warm up tournament is setup betweenUniverse 7andUniverse 9. Majin Buu, Gohan and Goku respectively defeat the wolfish fighters Basil, Lavender, and Bergamo with Goku revealing his Super Saiyan Blue form, thus surprising all the Gods of Destruction. After Goku wins, a mysterious fighter by the name ofTopwishes to fight Goku, considering himself a servant of justice and the latter as evil. An intense battle begins with Top dislocating Goku's shoulder and Super Saiyan Blue Goku delivering aKamehamehaat point blank range. Top survives but the Great Priest stops the battles before one of them dies before the tournament. Before leaving, Top reveals that he is not the strongest fighter inUniverse 11but it is his friendJiren, who will destroy Goku for sure. The Great Priest announces that the tournament will begin in 40 Earth hours and all the Universes depart. Goku returns to Earth and, along with Gohan, sets out to recruit 8 other members. Vegeta agrees to participate after Bulma gives birth to their daughter,Bulla. Goku recruits Piccolo, Master Roshi, Androids 17 and 18, Tien, and Krillin. Majin Buu is selected but falls asleep and Goku chooses Frieza as a replacement, much to everyone's horror. Everyone arrives at the World of Void for the tournament and a chaotic battle royal ensues between all the eight universes."	0.217666667
"Powerful new warriors prove their worth in the battlefield and Universe 7 defeats Universes 9, which is promptly erased. The tournament proceeds, and Universe 6's Saiyan warriorsKaleandCauliflacontinue to break their limits throughout the battle royal. Shortly,Universe 10is erased after their last fighterObniis defeated by Gohan. As half of the time goes by in the tournament, Goku faces off against the mightiest mortal, Jiren, whose power is rumored to be in the domain of the Gods of Destruction. During his intense battle with Jiren, Goku falls after his plan to release the Spirit Bomb, but he ends up obtaining a godly state known asUltra Instinct, which allows him to dodge any attack without having to think, in exchange of putting unconditional faith on his own body. Goku ultimately loses and proceeds to battle the other universes. Universe 6's strongest fighter Hit is unpredictably eliminated by Jiren. Goku defeatsKefla, the fusion of Kale and Caulifla, by reactivating his Ultra Instinct and erupting a mighty Kamehameha at her, throwing her out of the ring. Promptly,Universe 2and their love warriors andUniverse 6and their last Namekian fighters are erased by the combined efforts of Universe 7, who also clear upUniverse 4and it's fighting team, comprised of cunning superpowered extraterrestrials of diverse races, briefly."	0.111126894
"Universe 3's mightiest warriors fuse together to create the towering and gigantic winged monster,Agnilasa, who is defeated by the combined powers of the seventh universe, causing Universe 3 to get erased. The final warriors remaining in the stage are Goku, Vegeta, Gohan, Frieza and 17, who have to face off against Universe 11's Jiren, Top &Dyspo. Gohan eliminates himself in the process to take down Dyspo with him with the help of Frieza. Top, infuriated at his inability to stand a chance against Universe 7, leaves behind all his ideals and motivations to turn into aGod of Destruction. Frieza is pummeled by Top, who is eliminated in afrenzied attackby Vegeta. Jiren finally decides to release his true power, and starts to drop his calm and composed attitude. It is revealed that Jiren's family and allies were all ravaged by an evildoer in the past, and that Jiren has lost all his faith in humanity and friendship or trust after his own allies betrayed him when they abandoned him out of fear of getting the same fate as their fallen friends. Jiren's mind broke, and so did his will. Traumatized, Jiren convinced himself that strength was absolute, that strength forgives all, even the past, as the strength of the evildoer was enough to destroy the hopes of Jiren and his allies. Jiren trained endlessly all these years, reveling in his own unstoppable growing strength to suppress his frustrations and enforcing his own brand of justice against evil by enlisting in the Pride Troopers, vowing to never let anything like his past ever happen in the future again."	0.069065657
"Vegeta goesbeyond Super Saiyan Blueduring his ferocious battle with Jiren, the last remaining Universe 11 warrior. Android 17 seemingly blows himself up in a last ditch effort to save Goku and Vegeta from Jiren. Vegeta is knocked out by Jiren, who gives all of his energy away to Goku, putting his trust in his fellow Saiyan. Goku taps into Ultra Instinct again, and goes toe to toe with Jiren, and finally, hemasters the godly form. Goku proceeds to defeat Jiren, who starts going through a mental breakdown, devastated that all of his years of training and his ideals were all shattered by Goku, who proved that friendship and unity could be used as a drive to victory. Before he is able to eliminate Jiren who has started to acknowledge the Saiyan warrior's words, Goku's body suffers from using Ultra Instinct repetitively and he collapses. However, it is revealed that both Frieza and Android 17, who has survived his explosion, are still in the ring."	-0.014583333
"They save Goku and proceed to fight a heavily damaged Jiren, who finally exhibits catharsis, upon hearing the inspiring words of his comrade Top who says that he believed in Jiren all along and always will. Although, initially, Frieza planned to clear up the strong enemies and then later betray Universe 7 to steal the Super Dragon Balls for himself and use it's power to turn the gods against each other and receive unimaginable strength, he realizes that Jiren's power is too much for even him to handle. Frieza reluctantly accepts to team up with Goku to save Universe 7, throwing away his selfish goals of obtaining the Super Dragon Balls to defeat their opponent in the face of erasure. Putting their complete trust in each other despite being enemies, Goku and Frieza unite their strength to eliminate Jiren. However, they are eliminated in the process. Universe 11 is erased and Android 17, the last person standing in the tournament, uses the Super Dragon Balls to restore all the erased universes. The Grand Minister reveals that Zeno foresaw the outcome of the tournament, and that if the victor used the Super Dragon Balls for a selfish wish, he would destroy everything in existence. The tournament would serve as a great message to gods of the different universes to balance the order of their own respective universes."	0.136666667
"Out of gratitude, Beerus commands Whis to resurrect Frieza for his true comradeship in the end. Jiren finally acknowledges that he is done letting the past bind him in the future, revealing that he has let go of his hollow exterior to mask his problems, and that he was going to face them head on. He seems to come closer to accepting the Pride Troopers as his friends. The Dragon Team return to Earth and celebrate. Bulma gifts Android 17 a cruiser for his valiant contributions in the tournament. After his imminent return, Frieza seizes the opportunity to reassemble the extinct Frieza Forces, declaring with a malicious grin, that the emperor of the universe has returned."	-0.066666667
"Goku and Vegeta go to the place where they first battled. Goku reveals that he has lost the ability to use Ultra Instinct, but he and Vegeta promise each other that they will keep getting stronger, and continue breaking their limits."	0.0625
All the Japanese and Funimation DVD and Blu-ray releases are presented in the original 16:9 aspect ratio.	0.1875
* As stated on back of case	0
